Geneid	B7C1	B7C2	B7C4	B7D1	B7D3	B7D4
FBgn0085737	0	0	0	0	0	0
FBgn0267594	0	0	0	0	0	0
FBgn0085807	0	0	0	0	0	0
FBgn0085746	0	0	0	0	0	0
FBgn0085751	0	0	0	0	0	0
FBgn0085748	0	0	0	0	0	0
FBgn0259849	0	0	0	0	0	0
FBgn0085494	0	0	0	0	0	0
FBgn0085828	0	0	0	0	0	0
FBgn0085744	0	0	0	0	0	0
FBgn0085756	0	0	0	0	0	0
FBgn0085752	0	0	0	0	0	0
FBgn0085755	0	0	0	0	0	0
FBgn0085805	0	0	0	0	0	0
FBgn0085757	0	0	0	0	0	0
FBgn0085506	0	0	0	0	0	0
FBgn0085816	0	0	0	0	0	0
FBgn0085758	0	0	0	0	0	0
FBgn0085759	0	0	0	0	0	0
FBgn0085760	0	0	0	0	0	0
FBgn0085799	0	0	0	0	0	0
FBgn0085826	0	0	0	0	0	0
FBgn0085764	0	0	0	0	0	0
FBgn0085761	0	0	0	0	0	0
FBgn0085825	0	0	0	0	0	0
FBgn0085766	0	0	0	0	0	0
FBgn0259870	0	0	0	0	0	0
FBgn0259817	0	0	0	0	0	0
FBgn0085768	0	0	0	0	0	0
FBgn0085511	0	0	0	0	0	0
FBgn0085772	0	0	0	0	0	0
FBgn0259864	0	0	0	0	0	0
FBgn0085817	0	0	0	0	0	0
FBgn0085827	0	0	0	0	0	0
FBgn0085773	0	0	0	0	0	0
FBgn0085822	0	0	0	0	0	0
FBgn0085803	0	0	0	0	0	0
FBgn0259837	0	0	0	0	0	0
FBgn0085795	0	0	0	0	0	0
FBgn0085808	0	0	0	0	0	0
FBgn0085692	0	0	0	0	0	0
FBgn0267595	0	0	0	0	0	0
FBgn0085540	0	0	0	0	0	0
FBgn0259842	0	0	0	0	0	0
FBgn0259839	0	0	0	0	0	0
FBgn0259840	0	0	0	0	0	0
FBgn0085777	0	0	0	0	0	0
FBgn0267596	0	0	0	0	0	0
FBgn0031208	0	0	45	14	83	1
FBgn0002121	5647	7883	4609	6824	7331	6966
FBgn0031209	11	5	9	10	10	9
FBgn0263584	58	54	57	76	55	55
FBgn0051973	785	936	631	720	652	607
FBgn0266878	9	6	2	5	8	5
FBgn0266879	10	12	7	11	13	10
FBgn0067779	2484	3398	2296	2966	3158	3128
FBgn0266322	7	20	9	20	11	12
FBgn0031213	3041	3450	2781	3556	3542	3634
FBgn0031214	32	24	28	30	50	32
FBgn0002931	86	89	79	79	68	51
FBgn0031216	3415	4292	2818	3306	3451	3485
FBgn0031217	1788	2214	1703	1832	1919	1989
FBgn0026787	1495	1924	1425	1413	1455	1516
FBgn0005278	20557	21780	18087	15763	16646	16993
FBgn0031228	4513	4972	4291	3508	3566	4013
FBgn0031219	21	17	19	16	21	25
FBgn0031220	2012	1514	1632	1271	1414	1219
FBgn0025683	16928	13595	11280	12216	11761	11884
FBgn0266304	20	11	29	17	17	11
FBgn0001142	7824	10022	6528	12211	11422	12966
FBgn0265074	14	16	14	62	96	82
FBgn0265075	1	0	0	2	2	0
FBgn0051976	0	0	0	0	0	0
FBgn0051975	0	0	0	0	0	0
FBgn0051974	2018	1649	2683	2104	1850	2238
FBgn0031224	1116	1331	803	1329	1296	1380
FBgn0259818	324	335	352	338	309	351
FBgn0031227	1016	1278	778	1206	1153	1254
FBgn0031229	2595	3077	2243	2709	2783	2901
FBgn0053635	326	433	293	426	433	469
FBgn0016977	14577	15827	9723	15046	15735	15383
FBgn0031231	1478	1657	1273	1529	1543	1598
FBgn0031232	153	155	153	116	102	119
FBgn0031233	2193	2961	2020	2779	2932	2978
FBgn0266557	27967	34962	19936	27372	29245	29830
FBgn0265151	0	0	0	0	0	0
FBgn0265153	2	2	0	0	3	1
FBgn0265152	1	0	4	2	0	1
FBgn0263465	0	0	0	0	1	0
FBgn0262252	0	0	0	0	0	0
FBgn0265149	2	2	2	3	7	2
FBgn0022246	619	556	487	462	490	486
FBgn0031238	1090	1254	947	1213	1196	1412
FBgn0031239	251	285	244	274	246	272
FBgn0265150	1	1	2	2	3	1
FBgn0031240	20	22	322	109	383	24
FBgn0086912	3307	4074	2825	3110	3380	3622
FBgn0086856	1481	1754	1349	1542	1651	1768
FBgn0086855	2531	4035	2517	3500	3965	4052
FBgn0003444	1928	2725	1810	2124	2238	2228
FBgn0031244	1036	1132	928	1072	1003	1137
FBgn0031245	2370	1901	1608	1185	1177	1183
FBgn0025686	163	116	80	96	92	58
FBgn0031247	969	1037	885	1062	1193	1128
FBgn0017457	1929	2656	2009	2365	2433	2705
FBgn0024352	12766	14487	11102	11246	11078	12283
FBgn0020622	2979	4843	2724	3591	3659	3768
FBgn0004611	4230	5221	3779	4420	4520	4649
FBgn0263872	0	0	0	1	0	0
FBgn0031248	2	2	7	5	9	11
FBgn0031249	265	656	958	598	303	716
FBgn0053127	1581	2083	1351	985	759	1141
FBgn0264086	2	0	528	223	720	0
FBgn0051921	0	1	198	73	277	0
FBgn0031250	2709	2579	2197	2519	2457	2410
FBgn0266907	3	1	8	5	16	1
FBgn0266906	32	17	24	26	20	12
FBgn0000061	27	23	14	13	13	22
FBgn0263871	0	0	2	1	2	0
FBgn0031251	807	854	761	961	876	857
FBgn0003278	2899	3031	2442	2148	2245	2364
FBgn0264855	5848	8102	5381	6603	6565	6858
FBgn0263933	5162	7375	4803	6195	6681	6903
FBgn0031252	1303	1789	1201	1775	1765	1911
FBgn0002593	79636	74029	63481	53643	52684	59387
FBgn0031253	594	574	509	524	571	548
FBgn0031254	3	3	4	3	3	2
FBgn0031255	15	27	12	8	21	9
FBgn0004583	1123	994	864	734	703	694
FBgn0263870	1	2	3	2	2	1
FBgn0015924	7074	8706	6908	8278	8417	8382
FBgn0031256	2441	2484	1955	2401	2295	2319
FBgn0262510	0	1	0	0	0	0
FBgn0031257	210	216	167	183	181	189
FBgn0031258	820	844	685	829	819	843
FBgn0027592	2255	2985	2077	2810	2946	2941
FBgn0003963	1690	1738	1470	1497	1555	1417
FBgn0043364	3169	3391	2496	1851	1873	2042
FBgn0010602	4716	5398	3814	4571	4621	5045
FBgn0031260	3780	3789	3508	2807	2894	3182
FBgn0005660	81	77	84	375	430	231
FBgn0031261	348	219	180	153	119	101
FBgn0260933	179	152	145	161	200	177
FBgn0031263	5783	6254	4825	6511	6317	6429
FBgn0031264	288	374	221	182	168	211
FBgn0031265	1071	954	905	744	786	807
FBgn0021874	1523	1330	1213	1130	1108	1160
FBgn0031266	4348	4436	3491	4217	4215	4403
FBgn0031267	1815	2416	1672	2586	2658	2698
FBgn0031268	1146	1716	1074	1441	1519	1600
FBgn0013323	35	27	37	52	63	44
FBgn0023489	159	199	134	173	126	162
FBgn0010323	7	10	8	9	4	6
FBgn0031270	314	403	317	423	477	446
FBgn0263657	0	0	9	0	4	0
FBgn0263658	0	0	0	0	1	0
FBgn0040106	0	0	1	0	1	0
FBgn0266032	0	0	0	0	0	0
FBgn0266033	0	0	1	0	0	0
FBgn0040107	0	0	11	1	2	2
FBgn0031273	0	0	15	2	4	0
FBgn0266909	0	1	0	0	0	0
FBgn0000497	218	223	132	132	123	104
FBgn0266323	0	0	0	0	0	0
FBgn0011244	1	0	505	186	628	1
FBgn0026438	2503	3143	2230	2895	2521	2771
FBgn0031275	238	259	235	207	220	217
FBgn0265825	0	0	2	0	0	0
FBgn0031276	4	10	14	26	55	1
FBgn0040725	5	3	17	45	27	6
FBgn0031277	1729	1218	2147	1791	1622	1284
FBgn0041250	2	2	1	1	0	1
FBgn0000442	608	504	501	264	263	312
FBgn0266797	0	0	0	0	0	1
FBgn0051658	430	579	452	513	492	560
FBgn0086130	1214	1414	1045	1377	1382	1410
FBgn0031281	652	791	526	776	788	844
FBgn0031282	357	456	330	433	443	471
FBgn0031283	0	0	7	2	4	0
FBgn0031284	652	845	654	740	756	829
FBgn0015621	899	1184	816	1147	1183	1262
FBgn0031285	16586	16133	14508	14283	14183	14714
FBgn0031286	633	785	541	677	659	744
FBgn0010583	2913	3582	2285	3265	3529	3289
FBgn0020304	6109	6868	4959	6850	6816	7414
FBgn0264869	0	0	3	3	0	0
FBgn0031287	550	720	551	714	709	752
FBgn0020545	2840	2956	2775	3203	3314	3241
FBgn0031288	8	8	19	9	17	4
FBgn0266884	8	6	1	2	2	0
FBgn0262177	0	0	0	0	0	0
FBgn0031289	94	85	75	53	38	61
FBgn0029095	1531	1528	1344	1616	1587	1665
FBgn0086031	2	4	2	5	7	4
FBgn0020305	1660	1894	1398	1479	1572	1681
FBgn0053526	8717	9970	7085	8755	8822	9730
FBgn0031292	6	7	150	44	188	12
FBgn0002936	704	838	745	526	488	557
FBgn0266887	0	0	0	0	0	0
FBgn0002563	9815	5963	7505	1263	931	1539
FBgn0003916	9	15	10	21	24	12
FBgn0266799	0	0	0	0	0	0
FBgn0264870	0	0	3	0	3	1
FBgn0046113	326	304	271	223	217	202
FBgn0028481	455	484	444	412	360	383
FBgn0266036	0	0	1	0	4	0
FBgn0031294	10528	10337	10126	8936	8794	8999
FBgn0031295	0	0	256	105	339	1
FBgn0031296	1	9	20	8	23	1
FBgn0003310	3018	4550	2831	3146	3252	3357
FBgn0015905	1505	1858	1276	1769	1781	1832
FBgn0031298	2316	2417	1898	2834	2790	2934
FBgn0031299	963	905	715	638	555	609
FBgn0261938	2737	3164	2211	2664	2595	2921
FBgn0031301	3	2	42	10	45	3
FBgn0031302	13	27	8	16	23	23
FBgn0016926	9974	10535	8889	12430	11558	13487
FBgn0031304	2339	2495	1971	2328	2430	2482
FBgn0031305	3156	2295	2260	2050	1828	2266
FBgn0031306	2383	2432	2304	2490	2535	2707
FBgn0267281	1	0	0	0	0	1
FBgn0031307	151	149	141	139	151	144
FBgn0031308	549	589	425	584	565	659
FBgn0031309	818	1046	704	1129	1080	1183
FBgn0031310	1141	1333	1057	1233	1254	1363
FBgn0261458	8379	8779	7340	8146	8188	8570
FBgn0264267	2	0	1	1	3	6
FBgn0031312	2082	2528	1939	2532	2478	2656
FBgn0031313	3210	2136	2091	1736	1619	1530
FBgn0031314	1165	1139	873	1223	1203	1241
FBgn0031315	533	555	486	613	589	681
FBgn0024314	4398	4640	3529	4428	4557	4702
FBgn0051922	121	141	110	118	122	121
FBgn0031317	1085	1345	1045	1302	1370	1461
FBgn0031318	3079	3530	2707	2868	3028	3216
FBgn0031319	1160	1518	1302	1224	1359	1437
FBgn0031320	2121	2340	1596	1974	1989	2101
FBgn0031321	783	959	710	915	883	934
FBgn0031322	1027	1024	1084	786	791	738
FBgn0263080	598	625	613	1123	945	1099
FBgn0263081	1012	1775	1329	2294	1841	2219
FBgn0040723	718	917	674	963	824	1059
FBgn0031324	12	10	9	13	13	10
FBgn0266885	0	0	9	4	5	0
FBgn0262944	1	0	25	8	22	0
FBgn0259229	217	142	82	76	86	86
FBgn0031327	1125	858	754	532	548	553
FBgn0041097	307	332	320	290	270	325
FBgn0011294	99	150	71	105	102	158
FBgn0031331	1	0	11	3	17	0
FBgn0053923	0	0	0	0	1	0
FBgn0053922	2	3	2	0	1	1
FBgn0266357	1	0	2	0	1	0
FBgn0266358	0	1	3	0	3	0
FBgn0053126	5069	4167	3517	4520	4467	5039
FBgn0031337	0	3	28	9	43	1
FBgn0266203	0	0	0	0	0	0
FBgn0002543	376	357	303	386	258	274
FBgn0266202	0	1	1	0	5	0
FBgn0263320	0	0	6	3	8	0
FBgn0003926	0	0	0	0	0	0
FBgn0263321	1274	822	1054	707	700	601
FBgn0051928	612	421	887	65	54	61
FBgn0053128	4	1	14	0	0	2
FBgn0051926	241	439	695	2	0	0
FBgn0051661	693	169	754	73	46	45
FBgn0031343	6	7	95	35	120	7
FBgn0031344	862	874	749	900	874	978
FBgn0264873	0	0	3	1	6	0
FBgn0031345	0	0	31	10	35	0
FBgn0001174	20	21	9	179	64	35
FBgn0264881	1	1	3	0	2	1
FBgn0026398	1	2	2	2	3	3
FBgn0026397	9	6	7	4	11	5
FBgn0261509	171	173	123	107	124	101
FBgn0031347	5	12	577	178	689	12
FBgn0051935	1426	1629	1275	1578	1669	1792
FBgn0031351	457	727	460	658	756	753
FBgn0021906	10793	11047	9448	8606	7846	9429
FBgn0265814	3	2	2	5	1	4
FBgn0267259	0	0	0	0	0	0
FBgn0086758	384	461	373	437	464	372
FBgn0011570	3537	4182	3270	3659	3805	3883
FBgn0031356	2454	3122	2335	2614	2694	2857
FBgn0266311	12	10	9	18	19	15
FBgn0031357	878	829	685	714	788	883
FBgn0086698	921	1293	709	1184	1194	1351
FBgn0031359	2815	3209	2381	2819	2687	2972
FBgn0000579	45300	49954	35705	49895	47337	51214
FBgn0260648	721	690	585	580	559	585
FBgn0031360	3779	3631	2508	3430	3085	3795
FBgn0031361	650	715	627	719	712	723
FBgn0264494	5212	4207	3626	3849	3801	3957
FBgn0027597	909	1252	838	1041	1020	1086
FBgn0031364	0	0	9	3	11	1
FBgn0041249	0	0	0	0	0	0
FBgn0031365	5	6	12	7	15	5
FBgn0045497	0	0	0	0	1	0
FBgn0045498	0	0	0	0	0	0
FBgn0265138	0	0	0	0	0	0
FBgn0045500	0	2	0	0	0	0
FBgn0045501	0	0	0	0	1	0
FBgn0051933	0	0	43	8	50	0
FBgn0051664	376	180	273	144	140	165
FBgn0262275	0	0	0	0	0	0
FBgn0051665	1106	1118	985	802	778	909
FBgn0264882	1	0	3	1	6	0
FBgn0264883	0	0	0	0	5	1
FBgn0051663	1713	1590	1549	679	646	620
FBgn0031372	1	0	62	22	91	0
FBgn0264884	0	0	4	1	4	0
FBgn0031373	232	204	320	329	345	370
FBgn0031374	7956	9180	6235	8365	8330	8314
FBgn0011859	0	0	0	0	0	0
FBgn0053673	1	0	12	2	4	0
FBgn0031375	46	42	49	38	37	36
FBgn0051942	0	0	0	0	0	0
FBgn0031376	1997	2279	2033	1717	1750	1825
FBgn0031377	2263	3493	2278	2785	3079	3347
FBgn0031378	23	38	40	49	61	51
FBgn0031379	1386	1507	1454	1404	1474	1468
FBgn0001125	18069	19624	13124	22733	22282	24856
FBgn0031381	4274	3956	3873	3701	3527	3798
FBgn0262148	29	23	36	33	32	39
FBgn0043539	0	0	54	8	21	0
FBgn0053543	350	403	359	309	319	333
FBgn0263441	0	0	9	1	10	1
FBgn0040718	397	369	356	82	70	92
FBgn0267276	0	0	2	0	1	2
FBgn0040717	74	69	73	20	19	21
FBgn0051943	0	0	0	0	0	0
FBgn0051944	0	0	0	0	0	0
FBgn0031384	2702	3540	2598	2979	3045	3156
FBgn0051939	0	0	0	0	0	0
FBgn0051940	0	0	0	0	0	0
FBgn0051669	0	0	0	0	0	0
FBgn0011860	0	0	0	0	0	0
FBgn0259192	82	59	70	46	59	72
FBgn0259230	1	1	2	0	0	3
FBgn0003557	5794	7623	5036	5883	6338	6352
FBgn0266836	1	0	2	0	1	0
FBgn0028952	314	570	393	511	531	545
FBgn0026396	0	0	0	1	0	0
FBgn0053516	181	179	213	158	172	171
FBgn0031388	0	0	18	4	19	0
FBgn0266043	0	0	0	0	0	0
FBgn0264864	0	0	9	0	15	1
FBgn0031389	623	505	563	426	420	455
FBgn0004507	26288	31028	19709	24886	23443	26494
FBgn0031390	5809	6082	4138	6385	6236	6503
FBgn0031391	960	1440	971	1224	1285	1364
FBgn0027509	2717	2843	2145	2893	2954	3064
FBgn0031392	4417	5791	4253	4627	4933	5235
FBgn0031393	63	94	39	105	81	55
FBgn0000097	2665	3326	2204	2624	2753	2823
FBgn0265017	24	20	11	17	17	17
FBgn0264875	0	2	2	1	0	1
FBgn0051946	0	0	0	0	0	0
FBgn0266828	3	4	2	1	3	1
FBgn0031395	1566	1988	1564	1789	1799	1862
FBgn0264874	38	33	38	18	16	18
FBgn0085201	1244	1776	1640	700	577	786
FBgn0051668	1	3	4	9	1	3
FBgn0053124	5	2	7	2	5	2
FBgn0031397	695	563	631	570	526	605
FBgn0010288	6680	7481	5983	7226	7354	7751
FBgn0085203	348	368	311	396	424	451
FBgn0031398	1213	1495	1110	1432	1631	1593
FBgn0259717	0	0	0	0	0	0
FBgn0040715	0	0	0	0	0	0
FBgn0031399	1324	1582	1127	1591	1693	1725
FBgn0031401	2762	3034	2493	2262	2247	2372
FBgn0031403	643	753	562	739	769	738
FBgn0267378	4581	5191	4117	4378	4543	4760
FBgn0264945	7	13	11	8	7	4
FBgn0262126	5260	6059	4319	5073	5257	5648
FBgn0264946	3	2	2	0	3	0
FBgn0051679	0	2	76	24	95	1
FBgn0052463	0	1	12	4	27	0
FBgn0051682	3	12	87	38	99	4
FBgn0264979	2137	2541	2280	2839	2787	2959
FBgn0262106	3	3	21	10	39	6
FBgn0011832	873	665	1221	473	438	642
FBgn0042186	707	544	1176	857	713	892
FBgn0042187	182	92	228	345	352	290
FBgn0031406	5273	3499	5778	743	618	1025
FBgn0266022	0	0	0	1	1	0
FBgn0266023	0	0	0	0	0	0
FBgn0054049	0	0	13	1	24	0
FBgn0264084	2	0	10	2	11	0
FBgn0264085	11	12	39	18	29	16
FBgn0031409	0	0	20	4	10	0
FBgn0051681	7467	5782	7973	2712	2376	3251
FBgn0261523	0	0	14	2	12	0
FBgn0031410	0	0	87	44	125	0
FBgn0028570	0	0	39	2	22	0
FBgn0051949	0	0	95	16	75	0
FBgn0031412	76	81	222	83	81	71
FBgn0031413	604	728	478	707	641	680
FBgn0031414	1866	2466	1578	1884	1535	1490
FBgn0014010	9001	10017	7590	8270	8263	8617
FBgn0261647	1990	2599	1813	2216	2227	2321
FBgn0031417	2207	1690	1527	1665	1455	1855
FBgn0031418	6649	7267	3693	6045	4832	6224
FBgn0031419	342	410	345	377	424	413
FBgn0266317	5	1	5	6	6	2
FBgn0031420	1599	1799	1214	1496	1563	1654
FBgn0264672	666	792	641	726	724	736
FBgn0031422	335	482	345	389	406	436
FBgn0031423	1	1	51	17	53	0
FBgn0264081	0	1	61	25	68	2
FBgn0031424	1161	1206	1067	896	899	966
FBgn0031426	13	17	26	13	24	8
FBgn0051948	0	0	559	149	572	0
FBgn0085477	0	1	1	0	0	0
FBgn0085476	0	1	17	0	2	2
FBgn0031428	945	843	524	982	903	1040
FBgn0264988	0	0	5	1	1	0
FBgn0266217	3	8	9	26	14	20
FBgn0000490	488	438	349	435	394	392
FBgn0012017	0	0	0	0	0	0
FBgn0012016	0	0	0	1	0	0
FBgn0266824	0	0	3	1	4	0
FBgn0264978	2086	2115	1712	1923	1897	2131
FBgn0011818	2558	3939	2522	3178	3235	3155
FBgn0265818	0	0	0	0	0	0
FBgn0267738	0	0	0	0	0	0
FBgn0264943	0	0	6	5	9	0
FBgn0031431	0	0	9	4	20	0
FBgn0264944	7	3	3	4	4	8
FBgn0031432	707	706	372	1023	742	859
FBgn0041337	692	490	407	473	405	456
FBgn0085343	0	0	0	0	0	0
FBgn0026778	0	0	0	0	0	0
FBgn0031434	1435	2292	1436	2132	2352	2429
FBgn0031435	1841	2780	1780	2790	2922	3033
FBgn0031436	3486	3698	3059	2680	2541	3090
FBgn0031437	1558	1761	1358	1472	1496	1546
FBgn0026479	5285	6009	4598	5854	5851	6041
FBgn0250835	164	177	480	223	256	121
FBgn0266025	0	0	0	0	0	0
FBgn0266024	0	0	0	0	0	0
FBgn0263322	0	0	0	0	5	0
FBgn0267269	0	0	0	0	2	0
FBgn0264434	0	0	2	2	3	0
FBgn0031441	0	0	7	5	15	0
FBgn0264433	1	0	8	6	16	0
FBgn0031442	0	0	26	7	41	0
FBgn0026395	0	0	1	1	2	0
FBgn0031443	0	0	76	19	105	0
FBgn0031444	0	0	33	9	55	0
FBgn0041248	0	0	0	0	0	0
FBgn0051690	163	164	133	136	149	135
FBgn0031446	5	3	2	2	3	2
FBgn0031449	4854	5477	4388	6461	6563	6813
FBgn0263564	0	0	0	0	0	0
FBgn0031450	2680	3170	2311	3250	3436	3505
FBgn0031451	5	7	85	34	92	5
FBgn0031452	1816	2922	1878	2662	2935	3031
FBgn0250906	15069	16739	11969	14131	13154	15105
FBgn0031453	14124	15584	12870	12464	12533	13553
FBgn0265997	1	0	1	0	0	0
FBgn0031455	0	0	0	0	0	0
FBgn0031454	0	0	0	0	0	0
FBgn0031456	960	1313	922	1078	1179	1202
FBgn0031457	884	1262	979	1046	1062	1058
FBgn0031458	1109	1558	1160	1407	1400	1560
FBgn0026324	776	749	654	700	673	837
FBgn0028398	1032	1000	853	863	840	987
FBgn0019830	4492	4069	3187	4726	4504	5135
FBgn0031459	5706	5650	4408	4701	4538	5379
FBgn0031460	11	9	32	13	22	15
FBgn0004242	5102	6460	4688	4665	4737	4618
FBgn0264369	0	0	0	0	4	0
FBgn0031461	830	565	798	328	351	322
FBgn0031462	0	0	112	42	138	0
FBgn0031463	33	34	58	38	59	34
FBgn0031464	6189	8696	5325	7365	7601	8369
FBgn0031465	5	6	16	3	13	2
FBgn0031466	8	14	19	17	20	19
FBgn0031467	1	0	1	1	0	0
FBgn0266881	0	0	1	2	1	1
FBgn0031468	27	30	40	72	113	41
FBgn0031469	0	0	4	0	3	3
FBgn0031470	8	5	45	22	21	9
FBgn0031471	15	12	23	11	7	11
FBgn0031472	3	1	21	14	12	3
FBgn0031473	465	411	385	278	268	269
FBgn0015521	30026	27834	24404	21302	21364	23415
FBgn0031474	2559	3182	2580	2881	2611	2759
FBgn0051694	6028	6906	5413	6820	6430	6389
FBgn0031478	3010	3384	2541	2811	2804	3113
FBgn0031479	872	754	669	604	593	624
FBgn0051950	267	248	234	223	227	236
FBgn0028970	1050	1000	793	844	824	860
FBgn0024947	3729	4338	3247	3659	3518	3603
FBgn0041111	3509	4273	2861	3464	3714	3664
FBgn0010263	4912	5235	4067	4235	3935	4161
FBgn0024920	2110	2461	1808	2588	2438	2685
FBgn0004584	2487	3671	2516	3305	3530	3553
FBgn0260639	1074	1736	1097	1650	1624	1655
FBgn0031483	3553	5266	3442	5496	5865	6015
FBgn0031484	1072	1658	1123	1667	1629	1806
FBgn0031485	825	882	802	707	702	789
FBgn0250786	7649	10760	6725	9234	9874	10107
FBgn0025109	893	1198	962	1026	1117	1179
FBgn0002989	1109	1607	1085	1557	1602	1660
FBgn0025681	3080	3940	2635	3412	3441	3602
FBgn0031488	411	335	330	315	297	317
FBgn0031489	1940	1570	1573	874	868	1057
FBgn0031490	191	138	192	139	152	155
FBgn0031491	1055	1325	1054	1130	1125	1255
FBgn0031492	2227	3066	2029	2805	2844	3038
FBgn0031493	3742	4857	3664	4589	4834	4879
FBgn0031494	374	415	372	304	278	339
FBgn0264996	0	0	6	1	4	0
FBgn0031495	1365	1557	1256	1428	1442	1532
FBgn0031496	20	14	56	19	73	7
FBgn0031497	6026	5677	4718	5045	4764	5312
FBgn0031498	675	749	638	837	892	945
FBgn0243513	335	543	352	509	489	567
FBgn0031500	785	774	716	762	771	921
FBgn0031501	60	45	216	103	201	66
FBgn0042627	14323	11392	11102	11424	11547	11928
FBgn0263847	33	19	14	33	35	40
FBgn0003934	31	23	11	32	33	26
FBgn0027571	69303	44987	42442	25873	19991	24328
FBgn0015600	6781	8619	5856	7873	8421	8091
FBgn0031505	3422	3433	3113	2895	2543	3037
FBgn0011648	3988	5165	3328	4678	4763	5073
FBgn0260817	1179	1458	967	1523	1443	1452
FBgn0051953	0	0	0	0	0	0
FBgn0014906	3747	4554	3455	3657	3886	3881
FBgn0011985	0	0	0	0	0	0
FBgn0264744	298	328	250	351	382	364
FBgn0264745	526	774	521	736	668	742
FBgn0011984	0	0	0	0	0	0
FBgn0051698	0	0	0	0	2	0
FBgn0031512	0	0	0	0	0	0
FBgn0085422	96	123	131	103	89	111
FBgn0266875	0	0	2	1	11	0
FBgn0266876	4	11	5	14	9	14
FBgn0266877	11	13	3	11	15	17
FBgn0267270	16	8	5	4	11	5
FBgn0265677	0	0	0	1	5	0
FBgn0031513	0	0	14	2	24	3
FBgn0031514	1368	1217	797	449	399	428
FBgn0265678	0	0	1	0	1	0
FBgn0031515	786	674	479	361	353	387
FBgn0031516	916	993	770	792	728	781
FBgn0031518	318	345	212	175	153	244
FBgn0031517	3702	3466	3127	1597	1630	1698
FBgn0031519	410	565	358	574	538	578
FBgn0031520	590	550	557	583	536	618
FBgn0053281	284	236	378	179	159	173
FBgn0053282	114	139	173	134	189	202
FBgn0031522	592	566	643	421	499	495
FBgn0031523	1029	995	861	744	644	723
FBgn0020445	2651	4492	2594	3461	3465	3950
FBgn0031526	9	7	156	52	202	11
FBgn0085423	4462	5343	3561	4638	4719	4739
FBgn0031528	896	1117	764	1209	1026	1388
FBgn0031529	797	1020	796	871	923	1014
FBgn0016698	1323	1387	1166	1329	1398	1431
FBgn0266839	0	0	0	0	0	0
FBgn0259950	0	0	0	0	0	0
FBgn0266026	0	0	0	0	0	0
FBgn0266027	0	0	0	0	1	0
FBgn0031530	550	577	429	375	321	365
FBgn0031533	7	7	16	10	12	13
FBgn0031534	2577	2738	2351	2304	2369	2477
FBgn0031535	1857	2677	1794	3003	3061	3071
FBgn0031536	1128	1432	1009	1335	1309	1436
FBgn0266670	1579	1675	1245	1668	1679	1818
FBgn0031538	3093	2039	2078	2220	2251	2698
FBgn0005616	567	558	448	412	424	443
FBgn0263526	0	0	0	0	0	0
FBgn0021967	5075	5370	4596	4280	3935	4807
FBgn0031540	2105	2940	1883	3022	3095	3078
FBgn0051776	2	3	20	4	15	1
FBgn0051956	625	490	362	472	438	421
FBgn0266912	0	0	2	0	1	0
FBgn0264549	9	2	37	71	65	48
FBgn0261560	7942	8991	10912	22111	20716	22177
FBgn0031542	47	38	40	31	23	26
FBgn0014396	18102	17938	12420	12997	12859	13362
FBgn0266837	9	5	7	7	3	9
FBgn0051954	5	4	4	4	0	0
FBgn0266838	12	5	6	4	7	7
FBgn0053123	8947	9034	6847	7785	7825	8270
FBgn0031544	3719	4003	3262	3439	3614	3687
FBgn0031545	1	0	948	365	1195	0
FBgn0031547	222	188	137	124	169	160
FBgn0031548	408	365	315	387	343	339
FBgn0031549	1467	2202	1352	2285	2338	2427
FBgn0031550	8	4	7	13	19	8
FBgn0265367	0	0	7	6	6	0
FBgn0024244	718	686	688	447	395	466
FBgn0265368	1	0	6	1	9	0
FBgn0265960	2	3	2	3	0	1
FBgn0264370	0	1	1	0	1	1
FBgn0264363	0	0	7	1	2	0
FBgn0004892	101	98	82	77	52	56
FBgn0264371	0	0	5	0	3	0
FBgn0002985	255	230	183	128	104	137
FBgn0265369	40	31	23	9	2	12
FBgn0015663	626	642	454	420	421	471
FBgn0031554	61	60	134	27	56	20
FBgn0000721	12318	15405	9836	14072	14188	14790
FBgn0263523	0	0	0	0	0	0
FBgn0085369	68	74	62	63	45	56
FBgn0259951	0	0	115	2	7	0
FBgn0259953	0	0	10	2	4	0
FBgn0259952	0	0	517	14	42	0
FBgn0261054	0	0	10	0	1	0
FBgn0031558	1179	1149	1219	839	984	948
FBgn0031559	35	24	70	17	19	19
FBgn0051779	5	3	377	6	25	1
FBgn0263096	16	28	20	17	17	14
FBgn0262721	96	120	104	51	48	83
FBgn0031560	1999	1947	2336	1102	1369	1459
FBgn0031561	12155	9958	11996	5575	5770	6479
FBgn0031562	345	391	362	461	445	397
FBgn0031563	1203	890	941	572	620	699
FBgn0259954	2	0	20	5	5	3
FBgn0259955	0	0	20	4	9	0
FBgn0259956	0	0	65	20	20	0
FBgn0259957	1	0	12	0	3	1
FBgn0262621	0	0	13	0	3	0
FBgn0265370	0	0	3	0	1	0
FBgn0031564	69	63	46	37	27	33
FBgn0051778	960	644	833	809	891	840
FBgn0051777	362	286	316	289	268	349
FBgn0015376	1400	1954	1118	1864	1891	2039
FBgn0051955	23	23	24	23	36	22
FBgn0031566	2244	2694	1979	2589	2795	2689
