Geneid	D6C1	D6C2	D6C3	D6D1	D6D2	D6D3
FBgn0085737	0	0	0	0	0	0
FBgn0267594	0	0	0	0	0	0
FBgn0085807	0	0	0	0	0	0
FBgn0085746	0	0	0	0	0	0
FBgn0085751	0	0	0	0	0	0
FBgn0085748	0	0	0	0	0	0
FBgn0259849	0	0	0	0	0	0
FBgn0085494	0	0	0	0	0	0
FBgn0085828	0	0	0	0	0	0
FBgn0085744	0	0	0	0	0	0
FBgn0085756	0	0	0	0	0	0
FBgn0085752	0	0	0	0	0	0
FBgn0085755	0	0	0	0	0	0
FBgn0085805	0	0	0	0	0	0
FBgn0085757	0	0	0	0	0	0
FBgn0085506	0	0	0	0	0	0
FBgn0085816	0	0	0	0	0	0
FBgn0085758	0	0	0	0	0	0
FBgn0085759	0	0	0	0	0	0
FBgn0085760	0	0	0	0	0	0
FBgn0085799	0	0	0	0	0	0
FBgn0085826	0	0	0	0	0	0
FBgn0085764	0	0	0	0	0	0
FBgn0085761	0	0	0	0	0	0
FBgn0085825	0	0	0	0	0	0
FBgn0085766	0	0	0	0	0	0
FBgn0259870	0	0	0	0	0	0
FBgn0259817	0	0	0	0	0	0
FBgn0085768	0	0	0	0	0	0
FBgn0085511	0	0	0	0	0	0
FBgn0085772	0	0	0	0	0	0
FBgn0259864	0	0	0	0	0	0
FBgn0085817	0	0	0	0	0	0
FBgn0085827	0	0	0	0	0	0
FBgn0085773	0	0	0	0	0	0
FBgn0085822	0	0	0	0	0	0
FBgn0085803	0	0	0	0	0	0
FBgn0259837	0	0	0	0	0	0
FBgn0085795	0	0	0	0	0	0
FBgn0085808	0	0	0	0	0	0
FBgn0085692	0	0	0	0	0	0
FBgn0267595	0	0	0	0	0	0
FBgn0085540	0	0	0	0	0	0
FBgn0259842	0	0	0	0	0	0
FBgn0259839	0	0	0	0	0	0
FBgn0259840	0	0	0	0	0	0
FBgn0085777	0	0	0	0	0	0
FBgn0267596	0	0	0	0	0	0
FBgn0031208	36	17	1	17	1	46
FBgn0002121	5344	6324	9837	9851	8996	7574
FBgn0031209	6	9	9	8	9	2
FBgn0263584	6	4	7	10	6	10
FBgn0051973	314	409	440	430	301	385
FBgn0266878	0	0	0	0	1	0
FBgn0266879	0	0	0	0	0	0
FBgn0067779	1673	1920	2746	2892	2795	2475
FBgn0266322	35	31	52	44	51	50
FBgn0031213	3403	3854	4682	5218	4676	4778
FBgn0031214	8	11	5	16	8	12
FBgn0002931	52	70	69	52	35	49
FBgn0031216	1325	1676	2508	2727	2476	2302
FBgn0031217	1372	1589	1826	1841	2038	1759
FBgn0026787	1042	1223	1484	1563	1631	1467
FBgn0005278	14832	15192	19146	17746	14264	15895
FBgn0031228	3322	3333	3666	3409	3243	3843
FBgn0031219	14	9	3	22	14	13
FBgn0031220	1203	1322	1411	1180	892	1170
FBgn0025683	6438	8497	8951	8686	6619	7747
FBgn0266304	14	6	10	16	8	13
FBgn0001142	5945	6700	8071	8078	8025	8260
FBgn0265074	5	8	11	45	43	60
FBgn0265075	1	0	0	0	1	0
FBgn0051976	0	0	0	0	0	0
FBgn0051975	0	0	0	0	0	0
FBgn0051974	772	1064	761	1002	692	1071
FBgn0031224	881	913	987	1066	969	1077
FBgn0259818	149	145	197	149	138	147
FBgn0031227	721	783	1063	951	841	842
FBgn0031229	2034	2267	2623	2689	2846	2776
FBgn0053635	261	333	410	409	447	453
FBgn0016977	3877	4280	6133	7188	6855	5750
FBgn0031231	1447	1652	1624	1458	1516	1812
FBgn0031232	108	145	111	122	71	114
FBgn0031233	1781	2170	2648	2745	2760	2570
FBgn0266557	10485	10673	17203	18452	17483	14196
FBgn0265151	2	1	0	0	0	0
FBgn0265153	0	0	0	3	1	2
FBgn0265152	1	0	0	2	0	4
FBgn0263465	0	0	0	0	0	0
FBgn0262252	0	0	0	0	0	0
FBgn0265149	2	4	2	7	5	2
FBgn0022246	632	567	636	517	424	561
FBgn0031238	1032	1098	1136	1208	1279	1344
FBgn0031239	66	87	91	106	73	96
FBgn0265150	4	3	0	4	0	12
FBgn0031240	303	104	13	139	9	242
FBgn0086912	4788	4551	5404	4960	4854	4935
FBgn0086856	1574	1696	1840	1851	1944	2018
FBgn0086855	2863	3323	4332	4268	4785	4316
FBgn0003444	1426	1472	2472	2525	2420	2104
FBgn0031244	938	1031	1089	1166	1012	1236
FBgn0031245	757	1006	780	709	492	686
FBgn0025686	23	28	13	12	15	12
FBgn0031247	972	931	966	1017	983	1173
FBgn0017457	2066	2336	2435	2483	2751	2630
FBgn0024352	9577	11628	13465	12502	13688	12203
FBgn0020622	3333	2879	5823	5744	5265	4024
FBgn0004611	2303	2633	3393	3659	3476	3299
FBgn0263872	0	0	0	3	0	2
FBgn0031248	173	163	123	86	43	62
FBgn0031249	1383	1941	1343	242	156	187
FBgn0053127	844	884	710	586	458	580
FBgn0264086	558	224	1	291	0	409
FBgn0051921	195	80	0	99	0	177
FBgn0031250	1297	1757	2067	2025	1706	1992
FBgn0266907	10	0	0	0	0	6
FBgn0266906	15	12	23	11	14	25
FBgn0000061	13	9	4	13	8	9
FBgn0263871	2	3	0	3	0	5
FBgn0031251	552	623	535	516	288	578
FBgn0003278	2389	2393	2825	2560	2011	2214
FBgn0264855	4501	4849	6891	6763	6735	6039
FBgn0263933	4811	5445	6959	6781	7001	6748
FBgn0031252	1377	1436	1811	1724	1933	1867
FBgn0002593	60553	61271	56740	53999	40523	61629
FBgn0031253	646	587	658	603	641	711
FBgn0031254	6	2	3	7	4	8
FBgn0031255	21	22	10	9	7	16
FBgn0004583	521	568	681	715	514	524
FBgn0263870	0	2	0	0	0	0
FBgn0015924	5088	6456	7741	7649	7694	7702
FBgn0031256	1703	1635	1965	1795	1773	1779
FBgn0262510	0	0	0	0	0	0
FBgn0031257	82	102	67	84	70	105
FBgn0031258	265	335	406	521	385	403
FBgn0027592	1906	2120	2548	2602	2697	2481
FBgn0003963	853	1143	1145	1125	994	1003
FBgn0043364	1528	1747	2090	1524	1449	1468
FBgn0010602	4263	5078	5161	4808	5417	5410
FBgn0031260	2948	3263	3564	2909	3099	3068
FBgn0005660	49	48	55	139	48	107
FBgn0031261	148	121	73	67	68	92
FBgn0260933	131	147	168	177	182	149
FBgn0031263	4618	4464	4480	5053	4207	5932
FBgn0031264	157	233	201	141	125	182
FBgn0031265	1147	1075	1155	1161	865	1127
FBgn0021874	672	714	690	695	572	745
FBgn0031266	1921	2365	2414	2253	2140	2184
FBgn0031267	2020	2293	2451	2689	2980	3044
FBgn0031268	1151	1153	1667	1649	1836	1794
FBgn0013323	40	53	40	48	32	62
FBgn0023489	61	74	58	81	45	96
FBgn0010323	1	4	4	9	2	1
FBgn0031270	363	328	379	442	429	400
FBgn0263657	0	0	0	0	0	1
FBgn0263658	0	0	0	0	0	2
FBgn0040106	0	1	0	0	0	2
FBgn0266032	0	0	1	0	0	0
FBgn0266033	0	0	0	0	0	0
FBgn0040107	25	6	1	3	1	9
FBgn0031273	6	9	5	4	2	7
FBgn0266909	0	1	0	1	1	0
FBgn0000497	51	60	61	62	42	62
FBgn0266323	0	0	0	1	0	0
FBgn0011244	603	216	0	302	0	499
FBgn0026438	949	1269	1214	1291	870	1385
FBgn0031275	95	120	123	138	99	110
FBgn0265825	1	0	0	1	0	0
FBgn0031276	65	13	5	46	20	52
FBgn0040725	24	7	3	29	20	26
FBgn0031277	487	97	46	164	227	153
FBgn0041250	1	0	1	1	3	2
FBgn0000442	215	208	190	145	113	146
FBgn0266797	0	0	0	0	0	1
FBgn0051658	544	617	672	628	734	684
FBgn0086130	1240	1335	1538	1440	1505	1490
FBgn0031281	474	509	568	577	613	568
FBgn0031282	302	334	382	360	390	399
FBgn0031283	4	0	0	0	0	4
FBgn0031284	482	534	623	689	681	683
FBgn0015621	966	1038	1137	1092	1373	1300
FBgn0031285	8708	10222	9512	10390	8495	10749
FBgn0031286	535	582	634	636	731	686
FBgn0010583	1853	2112	2720	2713	2682	2526
FBgn0020304	3702	4371	5120	5840	4866	5519
FBgn0264869	1	1	1	1	0	1
FBgn0031287	569	535	545	550	593	598
FBgn0020545	2848	2927	2967	2939	2645	3304
FBgn0031288	6	3	3	5	1	9
FBgn0266884	2	4	4	2	1	2
FBgn0262177	0	0	0	0	0	0
FBgn0031289	73	111	68	32	41	50
FBgn0029095	977	1009	938	1115	890	1171
FBgn0086031	2	0	2	1	2	1
FBgn0020305	1551	1480	1666	1588	1736	1598
FBgn0053526	5633	5737	6516	6198	5448	5765
FBgn0031292	76	32	4	37	0	72
FBgn0002936	380	469	313	382	270	476
FBgn0266887	0	0	0	0	0	0
FBgn0002563	57	19	30	14	7	12
FBgn0003916	1	4	4	3	2	2
FBgn0266799	0	0	0	0	0	0
FBgn0264870	0	0	0	0	0	0
FBgn0046113	102	116	106	104	74	99
FBgn0028481	179	221	168	202	140	198
FBgn0266036	1	0	0	0	0	0
FBgn0031294	2377	2697	2990	3831	2582	3124
FBgn0031295	233	65	0	91	0	209
FBgn0031296	55	63	41	44	35	46
FBgn0003310	3292	2877	4519	4204	3728	3484
FBgn0015905	1161	1215	1353	1448	1372	1396
FBgn0031298	1728	2074	2268	2597	2558	2904
FBgn0031299	388	398	335	247	196	279
FBgn0261938	1757	2047	2140	2271	2057	2089
FBgn0031301	16	4	2	17	1	12
FBgn0031302	11	7	13	22	6	19
FBgn0016926	5530	6449	6953	7414	6097	7543
FBgn0031304	1234	1570	1627	1715	1616	1692
FBgn0031305	1881	1995	1947	1866	1321	1933
FBgn0031306	738	841	780	934	718	981
FBgn0267281	0	0	0	1	0	0
FBgn0031307	164	139	125	194	140	176
FBgn0031308	569	518	565	587	646	611
FBgn0031309	985	1075	1057	1095	1230	1231
FBgn0031310	1100	1212	1340	1344	1432	1622
FBgn0261458	5460	6298	6628	6371	6309	6663
FBgn0264267	1	0	3	1	6	2
FBgn0031312	2010	2215	2362	2306	2485	2601
FBgn0031313	1522	1564	1200	983	949	1158
FBgn0031314	713	765	720	708	768	780
FBgn0031315	435	423	433	440	443	478
FBgn0024314	3257	3453	3944	3708	3853	3758
FBgn0051922	86	116	106	107	106	114
FBgn0031317	695	726	899	907	820	906
FBgn0031318	1813	1994	2220	2039	2009	2048
FBgn0031319	803	859	952	890	830	892
FBgn0031320	1142	1318	1361	1527	1510	1646
FBgn0031321	868	873	968	1025	912	1061
FBgn0031322	520	688	554	610	443	578
FBgn0263080	221	200	193	369	209	585
FBgn0263081	940	1245	833	2942	1982	3029
FBgn0040723	225	237	166	353	245	436
FBgn0031324	10	10	6	8	3	18
FBgn0266885	0	0	0	0	0	0
FBgn0262944	0	0	0	0	0	0
FBgn0259229	42	49	37	31	22	40
FBgn0031327	447	592	352	428	406	520
FBgn0041097	87	95	109	124	83	105
FBgn0011294	118	146	69	117	108	133
FBgn0031331	3	2	1	11	0	12
FBgn0053923	0	0	0	0	0	0
FBgn0053922	0	0	0	0	0	0
FBgn0266357	0	0	0	0	0	0
FBgn0266358	1	1	0	0	0	3
FBgn0053126	2116	2349	1749	2573	1879	2958
FBgn0031337	53	17	2	17	3	55
FBgn0266203	0	0	0	0	0	0
FBgn0002543	120	116	123	95	57	85
FBgn0266202	0	2	0	0	0	2
FBgn0263320	0	0	0	0	0	3
FBgn0003926	0	0	0	0	0	0
FBgn0263321	345	340	467	241	143	199
FBgn0051928	469	405	711	315	192	310
FBgn0053128	5	8	8	5	14	6
FBgn0051926	391	490	577	199	177	264
FBgn0051661	342	305	495	244	172	264
FBgn0031343	72	36	0	44	0	81
FBgn0031344	736	774	752	775	719	867
FBgn0264873	2	0	0	1	0	2
FBgn0031345	27	10	0	6	0	28
FBgn0001174	46	28	3	0	3	1
FBgn0264881	1	3	1	1	1	2
FBgn0026398	10	3	3	2	3	1
FBgn0026397	3	12	4	4	5	8
FBgn0261509	37	59	48	82	52	64
FBgn0031347	507	196	13	244	7	469
FBgn0051935	1120	1195	1463	1422	1406	1477
FBgn0031351	348	402	521	495	646	553
FBgn0021906	8038	9034	6963	5948	5433	7444
FBgn0265814	3	0	3	1	0	3
FBgn0267259	0	0	0	0	0	0
FBgn0086758	105	79	122	219	153	142
FBgn0011570	3161	3243	4052	3901	4064	3956
FBgn0031356	1819	2256	2391	2616	2671	2588
FBgn0266311	5	8	10	6	9	11
FBgn0031357	690	805	748	677	624	759
FBgn0086698	657	774	863	928	957	959
FBgn0031359	1758	2196	2156	2264	1742	2207
FBgn0000579	34645	39099	40128	41459	40315	44895
FBgn0260648	789	732	808	714	706	840
FBgn0031360	2954	3077	2867	3119	3067	3550
FBgn0031361	581	635	707	646	713	687
FBgn0264494	2092	2309	2349	2547	1819	2458
FBgn0027597	862	866	976	1057	1158	1060
FBgn0031364	9	4	0	2	0	16
FBgn0041249	0	1	1	0	0	0
FBgn0031365	20	7	5	11	1	19
FBgn0045497	0	0	0	0	0	0
FBgn0045498	0	0	0	0	0	0
FBgn0265138	0	0	0	2	0	0
FBgn0045500	0	0	0	0	0	0
FBgn0045501	1	0	1	0	0	0
FBgn0051933	26	20	0	13	0	31
FBgn0051664	13	21	18	36	27	29
FBgn0262275	0	0	0	0	0	0
FBgn0051665	241	297	331	361	245	270
FBgn0264882	5	5	0	5	0	6
FBgn0264883	0	0	0	0	0	3
FBgn0051663	624	726	596	353	272	350
FBgn0031372	85	28	0	32	0	58
FBgn0264884	7	2	0	1	0	2
FBgn0031373	154	184	150	153	118	165
FBgn0031374	4177	4615	6201	6504	5448	5177
FBgn0011859	0	0	0	0	0	0
FBgn0053673	5	1	0	2	1	1
FBgn0031375	18	17	16	24	17	12
FBgn0051942	0	0	0	0	0	0
FBgn0031376	1576	1754	1909	1768	1868	1946
FBgn0031377	1849	2130	2933	3089	3237	2812
FBgn0031378	437	489	478	465	478	520
FBgn0031379	1400	1570	1525	1545	1563	1621
FBgn0001125	12598	13628	13365	21233	19792	25421
FBgn0031381	2852	2618	2374	2615	2388	3128
FBgn0262148	8	4	6	8	9	12
FBgn0043539	47	21	0	15	0	22
FBgn0053543	147	153	182	153	146	156
FBgn0263441	4	4	2	4	2	5
FBgn0040718	174	177	109	79	61	143
FBgn0267276	0	1	0	2	0	0
FBgn0040717	46	32	22	27	27	31
FBgn0051943	0	0	0	0	0	0
FBgn0051944	0	0	0	0	0	0
FBgn0031384	2198	2101	2694	2631	2437	2404
FBgn0051939	0	0	0	0	0	0
FBgn0051940	0	0	0	0	0	0
FBgn0051669	0	0	0	0	0	0
FBgn0011860	0	0	0	0	0	0
FBgn0259192	23	21	14	24	15	15
FBgn0259230	0	0	0	0	0	1
FBgn0003557	3775	3798	5974	5833	5475	4921
FBgn0266836	0	4	1	0	2	1
FBgn0028952	453	448	582	643	713	605
FBgn0026396	1	1	0	0	0	0
FBgn0053516	74	80	55	55	59	106
FBgn0031388	37	9	0	11	0	29
FBgn0266043	0	0	0	0	0	2
FBgn0264864	18	8	0	7	0	15
FBgn0031389	511	557	518	326	279	319
FBgn0004507	16079	18393	20533	19532	18189	19518
FBgn0031390	2495	2776	3468	3523	3137	2838
FBgn0031391	939	1028	1253	1353	1458	1430
FBgn0027509	1444	1829	2064	1983	1945	2016
FBgn0031392	3848	4011	4915	4847	5121	4848
FBgn0031393	38	39	38	17	35	31
FBgn0000097	1229	1480	2237	2310	2190	1915
FBgn0265017	4	10	4	8	8	5
FBgn0264875	2	0	2	0	1	0
FBgn0051946	0	0	0	0	0	0
FBgn0266828	0	3	3	5	1	4
FBgn0031395	1462	1669	1912	1900	2038	1960
FBgn0264874	11	17	18	16	6	23
FBgn0085201	967	1261	953	584	461	992
FBgn0051668	1	0	3	0	1	0
FBgn0053124	0	0	0	0	0	3
FBgn0031397	246	284	279	305	184	260
FBgn0010288	5882	6245	6925	6741	7378	7703
FBgn0085203	251	303	369	384	430	424
FBgn0031398	1196	1321	1584	1607	1814	1704
FBgn0259717	0	0	0	0	0	0
FBgn0040715	0	0	0	0	0	0
FBgn0031399	1751	1953	2100	2394	2198	2361
FBgn0031401	1875	1927	2293	2243	1910	2072
FBgn0031403	504	527	672	750	761	729
FBgn0267378	2848	3229	4104	4047	3998	3808
FBgn0264945	12	13	4	3	3	7
FBgn0262126	3567	3842	4915	4627	4466	4097
FBgn0264946	5	1	0	1	0	4
FBgn0051679	69	23	3	26	1	92
FBgn0052463	17	5	0	5	0	17
FBgn0051682	87	29	4	36	2	96
FBgn0264979	1427	1581	1676	1821	1932	2012
FBgn0262106	19	9	0	14	0	32
FBgn0011832	0	0	0	0	0	0
FBgn0042186	292	376	300	272	180	302
FBgn0042187	3	6	1	14	4	35
FBgn0031406	767	776	666	444	399	470
FBgn0266022	0	1	0	0	0	0
FBgn0266023	0	0	0	0	0	2
FBgn0054049	13	9	0	5	0	20
FBgn0264084	9	0	0	4	1	10
FBgn0264085	43	20	11	15	16	23
FBgn0031409	35	11	0	4	0	6
FBgn0051681	881	949	952	685	593	672
FBgn0261523	11	3	0	3	0	7
FBgn0031410	99	37	0	42	0	99
FBgn0028570	30	14	0	19	0	17
FBgn0051949	51	15	0	35	0	77
FBgn0031412	9	20	26	35	18	21
FBgn0031413	459	518	575	504	614	580
FBgn0031414	339	366	492	501	323	419
FBgn0014010	5533	6466	7454	7421	7238	7311
FBgn0261647	1181	1353	1820	2094	2049	1901
FBgn0031417	591	666	514	1411	1146	1409
FBgn0031418	2054	1972	1794	3456	2803	3849
FBgn0031419	329	348	462	372	441	422
FBgn0266317	3	1	0	3	0	3
FBgn0031420	632	858	1177	1195	1212	1138
FBgn0264672	687	770	860	842	869	886
FBgn0031422	249	279	393	331	409	369
FBgn0031423	36	23	0	19	0	52
FBgn0264081	38	17	0	20	4	47
FBgn0031424	324	301	342	391	268	343
FBgn0031426	24	12	6	24	4	23
FBgn0051948	403	147	0	191	0	441
FBgn0085477	0	0	0	0	0	0
FBgn0085476	35	19	2	1	0	4
FBgn0031428	340	382	327	506	419	597
FBgn0264988	24	8	0	3	0	15
FBgn0266217	6	6	1	22	7	12
FBgn0000490	220	295	212	282	238	268
FBgn0012017	0	0	0	0	0	0
FBgn0012016	0	0	0	0	0	0
FBgn0266824	0	0	1	0	0	1
FBgn0264978	1322	1411	1565	1607	1432	1595
FBgn0011818	1953	2129	3128	3138	3165	2770
FBgn0265818	0	0	0	0	0	0
FBgn0267738	1	0	0	0	0	0
FBgn0264943	6	0	0	2	0	4
FBgn0031431	11	4	0	3	0	11
FBgn0264944	0	1	1	0	0	1
FBgn0031432	58	89	62	203	150	233
FBgn0041337	96	102	101	251	160	260
FBgn0085343	0	0	0	0	0	0
FBgn0026778	0	0	0	0	0	0
FBgn0031434	1734	1892	2379	2508	2941	2611
FBgn0031435	2474	2433	2959	3179	3746	3509
FBgn0031436	3580	3750	2966	2654	2419	3389
FBgn0031437	1819	1647	1720	1669	1715	1864
FBgn0026479	4603	5368	6217	5822	5980	6067
FBgn0250835	146	145	78	112	58	154
FBgn0266025	1	0	0	0	0	0
FBgn0266024	0	0	0	0	0	0
FBgn0263322	4	7	0	9	0	31
FBgn0267269	0	2	0	2	0	0
FBgn0264434	3	2	0	0	0	0
FBgn0031441	7	7	0	1	0	6
FBgn0264433	14	5	0	2	0	10
FBgn0031442	19	7	0	7	0	20
FBgn0026395	3	0	1	3	0	0
FBgn0031443	59	20	0	13	0	62
FBgn0031444	35	12	0	11	0	24
FBgn0041248	0	0	0	0	0	0
FBgn0051690	50	91	76	68	61	81
FBgn0031446	3	1	0	3	1	2
FBgn0031449	3681	3776	4980	5407	5127	5232
FBgn0263564	0	0	0	0	0	0
FBgn0031450	2133	2481	2792	2804	2986	2905
FBgn0031451	109	49	35	66	30	102
FBgn0031452	1864	1870	2239	2263	2596	2388
FBgn0250906	13979	14842	14904	14149	14304	16135
FBgn0031453	11984	11062	11685	11417	10952	12093
FBgn0265997	0	0	0	0	0	0
FBgn0031455	0	0	0	0	0	0
FBgn0031454	0	0	0	0	0	0
FBgn0031456	691	797	950	1122	1153	1000
FBgn0031457	927	962	1141	1139	1228	1223
FBgn0031458	938	1221	1403	1358	1531	1525
FBgn0026324	764	822	858	824	848	995
FBgn0028398	723	818	744	740	747	866
FBgn0019830	2888	3073	2887	2981	2998	3536
FBgn0031459	3808	3657	3820	3734	3780	4475
FBgn0031460	26	14	10	16	10	33
FBgn0004242	1074	1259	1626	1763	1172	1318
FBgn0264369	2	2	0	1	0	6
FBgn0031461	537	580	635	229	214	223
FBgn0031462	197	54	0	74	0	144
FBgn0031463	49	13	13	34	12	32
FBgn0031464	4701	5011	7096	7160	6638	6110
FBgn0031465	5	5	3	6	1	9
FBgn0031466	9	12	6	6	5	7
FBgn0031467	1	0	2	0	1	1
FBgn0266881	2	1	1	0	2	1
FBgn0031468	29	22	24	44	13	50
FBgn0031469	4	0	0	0	0	1
FBgn0031470	2	3	3	5	0	0
FBgn0031471	3	2	1	3	0	4
FBgn0031472	3	5	0	5	0	8
FBgn0031473	427	443	479	520	620	511
FBgn0015521	18467	19882	18262	19050	14290	22498
FBgn0031474	1362	1650	1961	2526	2127	2292
FBgn0051694	4017	4656	5301	5420	5051	5184
FBgn0031478	2555	2756	3267	3139	3228	3164
FBgn0031479	657	584	637	635	546	586
FBgn0051950	201	163	194	203	209	224
FBgn0028970	771	789	790	806	663	899
FBgn0024947	2594	3084	3268	3124	3265	3170
FBgn0041111	1724	1896	2426	2667	2426	2269
FBgn0010263	1844	2253	2273	2391	1665	2315
FBgn0024920	1830	1655	1989	2046	2156	2189
FBgn0004584	3287	3155	4114	3726	3945	3666
FBgn0260639	982	978	1372	1463	1540	1453
FBgn0031483	3826	4104	5071	4958	5587	5337
FBgn0031484	1380	1377	1684	1734	1784	1909
FBgn0031485	830	808	994	805	829	1004
FBgn0250786	5385	5688	7101	7492	7182	6528
FBgn0025109	778	892	1198	1194	1272	1254
FBgn0002989	886	952	1200	1168	1255	1196
FBgn0025681	2607	2643	3526	3570	3562	3296
FBgn0031488	420	493	567	524	477	492
FBgn0031489	472	418	377	364	239	328
FBgn0031490	84	73	69	65	55	76
FBgn0031491	876	997	1222	1183	1181	1143
FBgn0031492	1688	2014	2204	2312	2456	2248
FBgn0031493	3479	3684	4394	4431	4488	4184
FBgn0031494	264	324	381	330	306	336
FBgn0264996	1	1	0	3	0	2
FBgn0031495	1121	1227	1417	1393	1460	1539
FBgn0031496	47	19	10	26	7	33
FBgn0031497	4895	4743	5020	4285	4433	4391
FBgn0031498	540	590	670	673	692	764
FBgn0243513	377	423	548	523	675	644
FBgn0031500	499	599	541	558	566	625
FBgn0031501	285	105	53	144	55	199
FBgn0042627	4089	4700	4168	3071	2116	2610
FBgn0263847	6	7	5	3	3	4
FBgn0003934	5	0	6	7	2	5
FBgn0027571	13932	15552	16285	15068	11547	14962
FBgn0015600	4479	3880	5693	6153	5237	4854
FBgn0031505	2932	2849	2575	2359	2102	2861
FBgn0011648	2389	2555	3553	3870	3773	3235
FBgn0260817	783	804	1106	1017	988	992
FBgn0051953	0	0	0	0	0	0
FBgn0014906	2867	3094	3961	3731	3723	3582
FBgn0011985	0	0	0	0	0	0
FBgn0264744	260	258	295	378	386	367
FBgn0264745	22	28	45	36	43	45
FBgn0011984	0	0	0	0	0	0
FBgn0051698	0	0	0	0	0	0
FBgn0031512	1	0	0	0	0	1
FBgn0085422	49	57	62	44	38	73
FBgn0266875	0	0	0	0	0	0
FBgn0266876	0	0	0	0	0	1
FBgn0266877	0	0	0	0	0	0
FBgn0267270	0	0	3	0	1	1
FBgn0265677	0	0	0	1	0	4
FBgn0031513	10	1	0	3	0	7
FBgn0031514	454	597	511	183	125	204
FBgn0265678	1	0	0	0	0	0
FBgn0031515	217	272	239	206	143	224
FBgn0031516	592	706	705	754	598	706
FBgn0031518	148	170	140	157	101	132
FBgn0031517	1124	1262	890	1071	961	1164
FBgn0031519	297	342	363	370	399	410
FBgn0031520	200	253	195	249	204	331
FBgn0053281	105	107	71	65	61	67
FBgn0053282	113	135	125	181	143	215
FBgn0031522	120	122	113	102	94	134
FBgn0031523	251	298	247	452	308	424
FBgn0020445	2776	2880	4549	4688	4578	4016
FBgn0031526	201	69	7	80	17	144
FBgn0085423	2134	2396	3453	3640	3317	3069
FBgn0031528	658	941	761	673	519	901
FBgn0031529	811	985	1174	1111	1187	1265
FBgn0016698	796	835	863	958	912	956
FBgn0266839	0	0	0	0	0	0
FBgn0259950	0	0	0	1	0	0
FBgn0266026	0	0	0	0	0	0
FBgn0266027	0	0	0	0	0	0
FBgn0031530	117	189	208	235	202	181
FBgn0031533	38	50	28	30	30	34
FBgn0031534	1369	1719	2013	2049	1953	2080
FBgn0031535	2344	2303	2914	2943	3485	3150
FBgn0031536	1083	1100	1310	1486	1382	1424
FBgn0266670	931	1085	1026	1116	1044	1178
FBgn0031538	1499	1794	1398	1924	1482	2090
FBgn0005616	236	248	259	267	238	246
FBgn0263526	0	0	0	0	0	0
FBgn0021967	4544	4433	3885	3722	3392	4637
FBgn0031540	1691	1803	2309	2402	2573	2154
FBgn0051776	16	3	1	7	0	13
FBgn0051956	316	386	285	288	178	258
FBgn0266912	0	0	0	0	0	0
FBgn0264549	7	16	12	39	19	40
FBgn0261560	5131	5683	5240	12795	7376	14074
FBgn0031542	19	25	13	24	14	10
FBgn0014396	5602	6779	6667	7821	5427	7156
FBgn0266837	1	2	1	3	1	6
FBgn0051954	2	0	3	1	0	0
FBgn0266838	2	8	6	2	3	2
FBgn0053123	6174	6273	7312	6851	6194	5791
FBgn0031544	3406	3402	3672	3412	3379	3658
FBgn0031545	1050	360	0	422	0	838
FBgn0031547	45	64	25	69	43	78
FBgn0031548	148	184	144	129	87	132
FBgn0031549	1117	1377	1714	1802	1914	1702
FBgn0031550	7	17	3	4	3	5
FBgn0265367	2	2	0	2	0	8
FBgn0024244	196	263	199	234	155	231
FBgn0265368	7	5	2	1	1	5
FBgn0265960	0	1	1	0	4	3
FBgn0264370	8	1	5	5	3	7
FBgn0264363	4	3	1	4	3	1
FBgn0004892	30	54	46	40	41	44
FBgn0264371	3	0	0	0	0	1
FBgn0002985	78	73	59	65	63	87
FBgn0265369	17	24	13	6	3	1
FBgn0015663	334	411	428	444	427	403
FBgn0031554	84	89	64	32	26	57
FBgn0000721	7315	8126	11045	11565	10758	9911
FBgn0263523	0	0	0	0	1	0
FBgn0085369	37	32	29	23	26	31
FBgn0259951	37	21	0	1	0	5
FBgn0259953	29	8	0	4	0	4
FBgn0259952	434	244	0	21	0	55
FBgn0261054	29	14	0	0	0	6
FBgn0031558	176	274	247	702	650	854
FBgn0031559	25	11	17	14	9	15
FBgn0051779	100	111	0	3	0	18
FBgn0263096	4	3	4	6	4	6
FBgn0262721	16	25	38	65	45	49
FBgn0031560	416	402	435	1018	767	950
FBgn0031561	3829	3816	3481	4699	3300	4614
FBgn0031562	259	240	225	429	343	533
FBgn0031563	552	652	578	430	341	469
FBgn0259954	5	2	2	4	2	5
FBgn0259955	43	15	0	2	0	10
FBgn0259956	23	20	0	2	0	8
FBgn0259957	9	2	0	1	0	2
FBgn0262621	43	17	1	2	0	9
FBgn0265370	5	3	0	2	0	2
FBgn0031564	22	41	27	26	23	38
FBgn0051778	447	456	479	743	613	855
FBgn0051777	192	191	152	235	195	262
FBgn0015376	1375	1599	1991	1907	2031	1845
FBgn0051955	95	132	117	153	102	177
FBgn0031566	1511	1614	1911	1946	1745	1820
FBgn0040104	0	0	0	0	0	0
FBgn0003386	206	282	284	402	236	264
FBgn0031568	14	27	60	51	26	34
FBgn0263846	147	148	178	180	154	156
FBgn0263842	2	0	0	1	0	2
FBgn0262392	0	0	0	0	0	0
FBgn0263843	2	1	6	2	0	4
FBgn0004893	306	377	367	406	330	345
