Geneid	F9C3	F9C4	F9D1	F9D3	F9D4
FBgn0085737	0	0	0	0	0
FBgn0267594	0	0	0	0	0
FBgn0085807	0	0	0	0	0
FBgn0085746	0	0	0	0	0
FBgn0085751	0	0	0	0	0
FBgn0085748	0	0	0	0	0
FBgn0259849	0	0	0	0	0
FBgn0085494	0	0	0	0	0
FBgn0085828	0	0	0	0	0
FBgn0085744	0	0	0	0	0
FBgn0085756	0	0	0	0	0
FBgn0085752	0	0	0	0	0
FBgn0085755	0	0	0	0	0
FBgn0085805	0	0	0	0	0
FBgn0085757	0	0	0	0	0
FBgn0085506	0	0	0	0	0
FBgn0085816	0	0	0	0	0
FBgn0085758	0	0	0	0	0
FBgn0085759	0	0	0	0	0
FBgn0085760	0	0	0	0	0
FBgn0085799	0	0	0	0	0
FBgn0085826	0	0	0	0	0
FBgn0085764	0	0	0	0	0
FBgn0085761	0	0	0	0	0
FBgn0085825	0	0	0	0	0
FBgn0085766	0	0	0	0	0
FBgn0259870	0	0	0	0	0
FBgn0259817	0	0	0	0	0
FBgn0085768	0	0	0	0	0
FBgn0085511	0	0	0	0	0
FBgn0085772	0	0	0	0	0
FBgn0259864	0	0	0	0	0
FBgn0085817	0	0	0	0	0
FBgn0085827	0	0	0	0	0
FBgn0085773	0	0	0	0	0
FBgn0085822	0	0	0	0	0
FBgn0085803	0	0	0	0	0
FBgn0259837	0	0	0	0	0
FBgn0085795	0	0	0	0	0
FBgn0085808	0	0	0	0	0
FBgn0085692	0	0	0	0	0
FBgn0267595	0	0	0	0	0
FBgn0085540	0	0	0	0	0
FBgn0259842	0	0	0	0	0
FBgn0259839	0	0	0	0	0
FBgn0259840	0	0	0	0	0
FBgn0085777	0	0	0	0	0
FBgn0267596	0	0	0	0	0
FBgn0031208	32	24	13	16	6
FBgn0002121	9392	6262	10124	10463	8490
FBgn0031209	10	11	15	13	11
FBgn0263584	20	8	18	10	13
FBgn0051973	987	611	1095	879	1101
FBgn0266878	0	0	0	2	0
FBgn0266879	0	1	2	0	1
FBgn0067779	2166	1495	2161	2262	1892
FBgn0266322	22	20	20	33	20
FBgn0031213	4122	3764	4253	4411	4064
FBgn0031214	33	19	27	31	31
FBgn0002931	165	139	134	125	133
FBgn0031216	3015	2005	2990	2800	2740
FBgn0031217	1308	1181	1360	1556	1209
FBgn0026787	1514	1294	1454	1497	1244
FBgn0005278	22713	18991	21305	20398	21486
FBgn0031228	4516	5281	4262	4309	4993
FBgn0031219	27	39	33	32	36
FBgn0031220	2794	2375	2788	2383	2608
FBgn0025683	23497	20158	24450	22476	23661
FBgn0266304	11	21	14	6	9
FBgn0001142	7430	6610	8812	9384	8165
FBgn0265074	6	6	20	33	33
FBgn0265075	2	0	2	0	0
FBgn0051976	0	0	0	0	0
FBgn0051975	0	0	0	0	0
FBgn0051974	2282	2173	2217	1873	2317
FBgn0031224	787	857	822	1006	752
FBgn0259818	204	183	233	221	226
FBgn0031227	680	716	596	841	618
FBgn0031229	1730	2057	1864	2200	1608
FBgn0053635	266	307	299	349	233
FBgn0016977	8294	3941	8480	8207	7176
FBgn0031231	1045	1166	1052	1222	925
FBgn0031232	327	347	338	263	404
FBgn0031233	1833	1500	1972	2188	1641
FBgn0266557	16503	7749	16763	16289	13225
FBgn0265151	0	2	1	0	0
FBgn0265153	1	2	1	0	1
FBgn0265152	2	3	1	0	0
FBgn0263465	0	0	1	0	0
FBgn0262252	0	0	0	0	0
FBgn0265149	8	6	2	4	5
FBgn0022246	684	801	608	579	596
FBgn0031238	914	1129	964	1042	840
