Geneid	G4C1	G4C2	G4C4	G4D1	G4D2	G4D4
FBgn0085737	0	0	0	0	0	0
FBgn0267594	0	0	0	0	0	0
FBgn0085807	0	0	0	0	0	0
FBgn0085746	0	0	0	0	0	0
FBgn0085751	0	0	0	0	0	0
FBgn0085748	0	0	0	0	0	0
FBgn0259849	0	0	0	0	0	0
FBgn0085494	0	0	0	0	0	0
FBgn0085828	0	0	0	0	0	0
FBgn0085744	0	0	0	0	0	0
FBgn0085756	0	0	0	0	0	0
FBgn0085752	0	0	0	0	0	0
FBgn0085755	0	0	0	0	0	0
FBgn0085805	0	0	0	0	0	0
FBgn0085757	0	0	0	0	0	0
FBgn0085506	0	0	0	0	0	0
FBgn0085816	0	0	0	0	0	0
FBgn0085758	0	0	0	0	0	0
FBgn0085759	0	0	0	0	0	0
FBgn0085760	0	0	0	0	0	0
FBgn0085799	0	0	0	0	0	0
FBgn0085826	0	0	0	0	0	0
FBgn0085764	0	0	0	0	0	0
FBgn0085761	0	0	0	0	0	0
FBgn0085825	0	0	0	0	0	0
FBgn0085766	0	0	0	0	0	0
FBgn0259870	0	0	0	0	0	0
FBgn0259817	0	0	0	0	0	0
FBgn0085768	0	0	0	0	0	0
FBgn0085511	0	0	0	0	0	0
FBgn0085772	0	0	0	0	0	0
FBgn0259864	0	0	0	0	0	0
FBgn0085817	0	0	0	0	0	0
FBgn0085827	0	0	0	0	0	0
FBgn0085773	0	0	0	0	0	0
FBgn0085822	0	0	0	0	0	0
FBgn0085803	0	0	0	0	0	0
FBgn0259837	0	0	0	0	0	0
FBgn0085795	0	0	0	0	0	0
FBgn0085808	0	0	0	0	0	0
FBgn0085692	0	0	0	0	0	0
FBgn0267595	0	0	0	0	0	0
FBgn0085540	0	0	0	0	0	0
FBgn0259842	0	0	0	0	0	0
FBgn0259839	0	0	0	0	0	0
FBgn0259840	0	0	0	0	0	0
FBgn0085777	0	0	0	0	0	0
FBgn0267596	0	0	0	0	0	0
FBgn0031208	4	1	2	2	1	2
FBgn0002121	11798	9947	12595	5534	7636	9890
FBgn0031209	6	15	17	15	4	8
FBgn0263584	16	17	16	10	12	24
FBgn0051973	754	908	903	435	882	1345
FBgn0266878	1	0	0	0	1	4
FBgn0266879	2	0	1	0	0	1
FBgn0067779	3047	2732	3212	1884	2019	2524
FBgn0266322	57	46	55	40	47	46
FBgn0031213	5194	5388	5825	4627	4338	4697
FBgn0031214	18	33	24	20	29	75
FBgn0002931	89	98	88	68	81	110
FBgn0031216	3836	3582	4023	1754	2759	3784
FBgn0031217	2202	2270	2394	1791	1603	1710
FBgn0026787	1899	1938	2178	1247	1340	1674
FBgn0005278	27036	28881	29479	16399	20144	24369
FBgn0031228	4061	5377	4527	7356	4943	4478
FBgn0031219	15	15	14	23	18	11
FBgn0031220	1926	2513	2112	1924	2184	2578
FBgn0025683	15257	18859	14563	12843	16458	19527
FBgn0266304	17	25	21	11	19	20
FBgn0001142	9480	8615	9302	7539	6667	7996
FBgn0265074	6	9	4	14	5	8
FBgn0265075	0	0	1	0	0	2
FBgn0051976	0	0	0	0	0	0
FBgn0051975	0	0	0	0	0	0
FBgn0051974	1222	2006	1264	2372	1925	2174
FBgn0031224	921	1025	894	1076	789	848
FBgn0259818	173	222	230	153	191	239
FBgn0031227	1168	925	1086	1009	780	790
FBgn0031229	2747	2923	3045	3420	2228	2188
FBgn0053635	465	474	474	415	320	313
FBgn0016977	9534	8298	10327	3186	7195	15077
FBgn0031231	1451	1712	1677	1839	1439	1397
FBgn0031232	100	184	118	136	150	136
FBgn0031233	2719	2678	3003	1702	1870	2338
FBgn0266557	24986	21061	28639	7358	16226	29139
FBgn0265151	1	0	0	0	0	0
FBgn0265153	2	0	2	0	0	1
FBgn0265152	0	1	2	0	0	0
FBgn0263465	0	0	0	1	0	0
FBgn0262252	0	0	0	0	0	0
FBgn0265149	2	5	4	5	2	1
FBgn0022246	636	761	658	969	660	682
FBgn0031238	1136	1276	1329	1265	974	1039
FBgn0031239	133	174	171	72	159	257
FBgn0265150	1	0	0	0	0	0
FBgn0031240	6	4	6	12	9	6
FBgn0086912	5691	5852	6861	5233	4085	4097
FBgn0086856	1786	1913	2063	2095	1457	1409
FBgn0086855	4035	3600	4906	2516	2069	2391
FBgn0003444	3328	2860	3617	1578	1762	2041
FBgn0031244	1161	1357	1321	1502	1115	1214
FBgn0031245	1427	2018	1635	2579	2198	2408
FBgn0025686	40	70	56	63	48	56
FBgn0031247	925	1098	1107	1506	1038	961
FBgn0017457	2692	2621	2981	2548	1906	1900
FBgn0024352	12777	12859	14259	9753	8479	8939
FBgn0020622	7530	5811	8557	2219	3250	4110
FBgn0004611	4808	4776	5365	2475	3414	4468
FBgn0263872	0	1	0	0	1	1
FBgn0031248	496	891	420	910	619	923
FBgn0031249	1148	2140	1574	1270	1126	1164
FBgn0053127	2029	2890	1861	4210	3060	3133
FBgn0264086	0	1	0	0	1	0
FBgn0051921	0	0	0	0	0	0
FBgn0031250	2595	2796	2750	2034	2217	2580
FBgn0266907	2	5	0	3	1	1
FBgn0266906	43	42	41	36	39	42
FBgn0000061	9	19	21	29	12	22
FBgn0263871	0	0	0	0	0	0
FBgn0031251	758	1085	706	807	1001	974
FBgn0003278	3086	3552	3885	2967	2892	3157
FBgn0264855	7474	6932	8105	3513	4902	5955
FBgn0263933	7759	7198	9178	4105	4450	5310
FBgn0031252	1307	1311	1572	1528	956	892
FBgn0002593	59845	88791	70264	135460	84101	78388
FBgn0031253	578	695	663	966	606	611
FBgn0031254	1	1	0	1	0	1
FBgn0031255	14	18	28	23	12	24
FBgn0004583	992	1222	1016	514	1081	1579
FBgn0263870	1	1	1	0	1	3
FBgn0015924	9156	9272	9623	7493	7005	7966
FBgn0031256	1852	1895	2128	2221	1682	1661
FBgn0262510	0	0	0	0	0	0
FBgn0031257	106	169	119	126	123	168
FBgn0031258	768	848	875	417	820	1158
FBgn0027592	2414	2406	2821	1891	1790	2044
FBgn0003963	1145	1267	1065	768	1076	1320
FBgn0043364	3784	4103	4150	2286	2736	3095
FBgn0010602	5068	5312	5557	5570	3895	4152
FBgn0031260	3448	3963	3948	2948	2836	3131
FBgn0005660	71	81	73	64	75	109
FBgn0031261	104	158	121	245	179	189
FBgn0260933	147	172	174	120	166	181
FBgn0031263	4505	5793	4800	8142	4813	4731
FBgn0031264	169	283	197	182	197	266
FBgn0031265	1252	1578	1330	1481	1255	1322
FBgn0021874	1310	1662	1457	2131	1557	1544
FBgn0031266	3138	3646	3510	3336	3055	3635
FBgn0031267	2279	2191	2560	2407	1553	1649
FBgn0031268	2048	1869	2434	1388	1132	1251
FBgn0013323	16	26	25	42	31	27
FBgn0023489	138	168	116	203	154	206
FBgn0010323	7	10	7	8	2	14
FBgn0031270	476	398	561	577	316	311
FBgn0263657	0	0	0	0	0	0
FBgn0263658	0	0	0	2	0	0
FBgn0040106	0	0	0	0	0	0
FBgn0266032	1	1	0	0	0	0
FBgn0266033	0	0	0	0	0	0
FBgn0040107	0	2	0	0	1	0
FBgn0031273	2	2	0	2	2	0
FBgn0266909	1	0	0	0	2	0
FBgn0000497	180	178	114	82	132	238
FBgn0266323	0	0	0	0	0	0
FBgn0011244	1	0	0	1	0	0
FBgn0026438	1958	2618	2122	1671	2379	2949
FBgn0031275	129	170	155	115	165	250
FBgn0265825	0	0	1	0	1	0
FBgn0031276	22	17	55	44	114	63
FBgn0040725	19	18	55	26	84	33
FBgn0031277	108	151	138	897	366	337
FBgn0041250	0	3	3	2	1	2
FBgn0000442	316	479	354	466	421	509
FBgn0266797	0	0	0	0	0	1
FBgn0051658	540	538	569	593	380	360
FBgn0086130	1441	1594	1778	1826	1217	1245
FBgn0031281	579	608	589	739	488	570
FBgn0031282	384	443	433	581	409	377
FBgn0031283	0	0	0	1	0	0
FBgn0031284	815	806	860	689	563	628
FBgn0015621	1006	1043	1239	1055	782	750
FBgn0031285	12486	16698	13360	15370	14450	16340
FBgn0031286	801	865	995	806	620	614
FBgn0010583	3072	3024	3733	1735	2193	2697
FBgn0020304	6120	6673	7034	4032	4998	6233
FBgn0264869	0	1	0	0	1	0
FBgn0031287	491	523	574	706	464	467
FBgn0020545	2989	3400	3090	3557	2389	2227
FBgn0031288	7	5	7	2	3	12
FBgn0266884	1	2	1	2	4	7
FBgn0262177	0	0	0	0	0	0
FBgn0031289	53	96	59	106	83	89
FBgn0029095	1161	1470	1180	1672	1383	1536
FBgn0086031	1	3	1	3	0	3
FBgn0020305	1632	1761	1815	1852	1361	1422
FBgn0053526	7734	8988	9354	6507	6902	8235
FBgn0031292	6	7	7	3	5	8
FBgn0002936	594	814	560	1118	882	861
FBgn0266887	0	0	0	0	0	0
FBgn0002563	666	820	352	782	837	835
FBgn0003916	14	9	16	18	9	5
FBgn0266799	0	0	0	0	0	0
FBgn0264870	2	6	2	4	4	4
FBgn0046113	173	349	210	311	283	279
FBgn0028481	263	352	275	252	337	443
FBgn0266036	0	0	0	0	0	0
FBgn0031294	5998	6579	6195	3514	7126	11849
FBgn0031295	1	0	0	0	0	0
FBgn0031296	3	8	1	6	4	8
FBgn0003310	5591	5053	6658	2113	2766	3389
FBgn0015905	1688	1732	1879	1530	1360	1400
FBgn0031298	2515	2911	2744	3084	2689	2718
FBgn0031299	532	696	550	584	674	743
FBgn0261938	2767	3143	3164	2357	2467	2815
FBgn0031301	1	0	0	1	1	2
FBgn0031302	24	46	16	26	28	30
FBgn0016926	11503	12837	12860	8835	9075	9939
FBgn0031304	1902	2102	2088	1617	1707	1974
FBgn0031305	2205	3182	2359	4272	4123	4228
FBgn0031306	1250	1531	1205	1086	1527	2007
FBgn0267281	0	0	0	0	1	1
FBgn0031307	171	202	160	265	232	258
FBgn0031308	526	650	582	648	540	511
FBgn0031309	1013	1058	1176	904	687	703
FBgn0031310	1226	1361	1439	1632	1055	1095
FBgn0261458	6825	7752	7079	7308	6173	6668
FBgn0264267	3	8	2	6	3	4
FBgn0031312	2089	2289	2335	2829	1827	1864
FBgn0031313	1578	2227	1752	2076	1992	2209
FBgn0031314	706	723	754	877	689	737
FBgn0031315	447	499	454	670	424	415
FBgn0024314	3597	4153	4210	4292	3527	3726
FBgn0051922	149	162	190	249	125	123
FBgn0031317	994	1132	1186	1209	929	910
FBgn0031318	2914	3180	3314	2280	2597	3216
FBgn0031319	1403	1570	1615	1350	1224	1397
FBgn0031320	1753	2086	1960	2154	1860	1889
FBgn0031321	1151	1231	1350	1159	938	938
FBgn0031322	825	1150	799	945	906	1048
FBgn0263080	595	858	596	1153	374	663
FBgn0263081	1305	1885	1227	2896	1783	2161
FBgn0040723	534	782	490	1306	786	946
FBgn0031324	8	11	10	9	5	13
FBgn0266885	0	0	0	0	0	0
FBgn0262944	1	0	0	1	1	0
FBgn0259229	114	168	103	249	175	162
FBgn0031327	877	1168	794	1764	1056	1489
FBgn0041097	140	184	165	127	223	293
FBgn0011294	161	370	248	503	153	372
FBgn0031331	0	0	0	0	0	0
FBgn0053923	0	0	0	0	0	1
FBgn0053922	0	0	0	0	0	0
FBgn0266357	0	0	0	0	0	0
FBgn0266358	0	0	0	0	0	0
FBgn0053126	5179	7839	5200	10803	7787	7964
FBgn0031337	4	5	3	2	5	0
FBgn0266203	0	0	0	0	0	0
FBgn0002543	262	316	220	152	256	518
FBgn0266202	0	1	1	0	0	2
FBgn0263320	0	0	0	0	0	0
FBgn0003926	0	0	0	0	0	0
FBgn0263321	920	1164	920	735	699	786
FBgn0051928	336	954	534	376	952	406
FBgn0053128	44	76	71	125	115	175
FBgn0051926	149	307	269	44	197	91
FBgn0051661	173	340	197	205	460	214
FBgn0031343	5	0	5	3	2	3
FBgn0031344	787	883	896	1035	734	766
FBgn0264873	0	0	0	1	0	0
FBgn0031345	0	0	0	0	0	0
FBgn0001174	67	108	85	78	106	26
FBgn0264881	2	4	4	1	3	3
FBgn0026398	1	6	3	5	7	3
FBgn0026397	6	11	9	7	1	9
FBgn0261509	101	105	107	27	92	153
FBgn0031347	5	9	9	13	7	8
FBgn0051935	1685	1743	1805	1196	1292	1368
FBgn0031351	737	660	842	778	498	490
FBgn0021906	7924	12731	7535	17349	11942	10411
FBgn0265814	0	1	2	1	3	4
FBgn0267259	0	0	0	0	0	0
FBgn0086758	196	222	278	113	311	469
FBgn0011570	4253	4407	4774	3476	2971	3294
FBgn0031356	2987	3140	3396	2339	2133	2339
FBgn0266311	11	8	7	13	15	8
FBgn0031357	637	812	757	1449	815	768
FBgn0086698	875	946	920	664	630	844
FBgn0031359	2661	3457	2748	2326	2773	3004
FBgn0000579	36642	44370	38592	47794	41928	43518
FBgn0260648	688	829	776	1117	665	680
FBgn0031360	3337	4267	3801	5913	4404	4304
FBgn0031361	581	699	647	800	525	627
FBgn0264494	4165	5193	4388	3276	3918	4502
FBgn0027597	1164	1172	1342	1071	763	785
FBgn0031364	0	0	0	0	0	0
FBgn0041249	0	1	0	0	0	0
FBgn0031365	15	17	13	25	10	7
FBgn0045497	0	0	0	0	0	0
FBgn0045498	0	0	0	0	0	0
FBgn0265138	0	0	0	0	0	0
FBgn0045500	0	0	0	0	0	0
FBgn0045501	0	1	0	0	0	0
FBgn0051933	0	0	0	0	0	0
FBgn0051664	92	119	93	121	116	247
FBgn0262275	0	0	0	0	0	0
FBgn0051665	558	652	650	388	686	1115
FBgn0264882	0	0	0	0	0	0
FBgn0264883	0	0	0	0	0	0
FBgn0051663	1099	1429	1112	982	1110	1236
FBgn0031372	0	0	0	0	0	0
FBgn0264884	0	0	1	0	0	0
FBgn0031373	395	561	359	770	490	585
FBgn0031374	7776	7608	8424	3093	5883	8713
FBgn0011859	0	0	0	0	0	0
FBgn0053673	0	0	0	0	0	0
FBgn0031375	25	35	38	29	38	40
FBgn0051942	0	0	0	0	0	0
FBgn0031376	1773	2085	2001	1881	1498	1587
FBgn0031377	2941	2889	3612	1365	1744	2108
FBgn0031378	586	520	633	702	466	437
FBgn0031379	1571	1852	1714	1551	1510	1630
FBgn0001125	12982	15300	14044	30329	20991	22286
FBgn0031381	3309	4471	3380	6579	4072	3824
FBgn0262148	2	4	8	11	12	7
FBgn0043539	0	0	0	1	0	0
FBgn0053543	218	307	298	200	254	321
FBgn0263441	1	1	0	0	0	1
FBgn0040718	178	306	191	230	170	180
FBgn0267276	0	0	0	0	0	0
FBgn0040717	39	76	69	109	75	104
FBgn0051943	0	0	1	0	0	0
FBgn0051944	0	0	0	0	0	0
FBgn0031384	3310	3308	3943	2254	2348	2569
FBgn0051939	0	0	0	0	0	0
FBgn0051940	0	0	0	0	0	0
FBgn0051669	0	0	0	0	0	0
FBgn0011860	0	0	0	0	0	0
FBgn0259192	17	35	15	21	31	45
FBgn0259230	0	1	1	0	1	2
FBgn0003557	7748	7061	8738	4233	4875	6122
FBgn0266836	3	1	3	4	0	2
FBgn0028952	708	603	699	405	407	370
FBgn0026396	0	0	0	1	1	1
FBgn0053516	86	97	96	83	87	132
FBgn0031388	0	0	0	0	0	0
FBgn0266043	0	0	0	0	0	0
FBgn0264864	0	0	0	0	0	0
FBgn0031389	240	329	265	367	360	329
FBgn0004507	23826	28607	25976	21561	22421	25394
FBgn0031390	4093	4107	4229	3118	3984	5230
FBgn0031391	1496	1390	1539	1112	993	1097
FBgn0027509	2305	2339	2323	2015	2022	2329
FBgn0031392	5314	5400	6223	4677	3958	4149
FBgn0031393	79	110	54	57	78	37
FBgn0000097	3196	2907	3349	1364	2167	3078
FBgn0265017	4	12	5	4	2	10
FBgn0264875	0	1	1	1	1	0
FBgn0051946	0	0	0	0	0	0
FBgn0266828	12	8	7	7	4	3
FBgn0031395	1906	2110	2320	1638	1444	1509
FBgn0264874	46	61	39	60	54	66
FBgn0085201	1661	2907	1274	4619	2957	2224
FBgn0051668	161	169	117	190	127	185
FBgn0053124	142	186	138	184	132	208
FBgn0031397	341	489	370	373	410	583
FBgn0010288	5905	6434	6228	6619	5103	5098
FBgn0085203	319	323	362	366	292	257
FBgn0031398	1498	1457	1659	1404	1022	1058
FBgn0259717	0	0	0	0	0	0
FBgn0040715	0	0	0	0	0	0
FBgn0031399	1670	1811	1843	1298	1277	1473
FBgn0031401	3057	3281	3676	2102	2283	2521
FBgn0031403	789	735	812	549	535	494
FBgn0267378	5182	5573	5857	3514	4290	5106
FBgn0264945	11	15	16	14	4	11
FBgn0262126	5218	5231	5644	3032	3870	4781
FBgn0264946	0	1	0	0	0	3
FBgn0051679	1	1	1	0	0	0
FBgn0052463	0	0	0	0	0	0
FBgn0051682	3	2	1	0	4	1
FBgn0264979	1365	1672	1713	2144	1360	1363
FBgn0262106	0	0	2	0	1	1
FBgn0011832	132	141	85	163	143	164
FBgn0042186	112	251	194	327	177	189
FBgn0042187	18	18	15	47	22	60
FBgn0031406	234	418	264	297	314	319
FBgn0266022	0	0	0	0	0	0
FBgn0266023	0	0	0	0	0	0
FBgn0054049	0	0	0	0	1	0
FBgn0264084	1	1	0	0	1	1
FBgn0264085	5	9	5	5	7	6
FBgn0031409	0	0	0	1	0	0
FBgn0051681	981	1372	1007	1677	1355	1325
FBgn0261523	0	0	1	0	0	0
FBgn0031410	0	0	0	0	0	1
FBgn0028570	0	0	0	0	0	0
FBgn0051949	0	0	0	0	0	0
FBgn0031412	21	38	18	60	54	41
FBgn0031413	701	734	815	616	504	560
FBgn0031414	879	1154	848	520	1202	2011
FBgn0014010	8124	9337	9096	7467	7517	8465
FBgn0261647	1875	1821	2221	972	1274	1655
FBgn0031417	1041	1747	1239	3207	2636	2738
FBgn0031418	4908	6702	4695	11474	8858	8880
FBgn0031419	420	429	494	481	303	302
FBgn0266317	7	1	4	5	1	5
FBgn0031420	1321	1374	1557	939	1058	1191
FBgn0264672	788	1008	975	834	686	829
FBgn0031422	431	472	531	402	277	321
FBgn0031423	0	1	1	0	1	1
FBgn0264081	0	1	0	1	0	0
FBgn0031424	618	748	700	404	675	1154
FBgn0031426	9	21	10	14	10	22
FBgn0051948	0	0	0	0	0	0
FBgn0085477	1	0	0	0	0	0
FBgn0085476	0	1	1	0	1	0
FBgn0031428	806	1083	825	1670	1553	1671
FBgn0264988	0	0	0	0	0	0
FBgn0266217	8	10	16	10	11	13
FBgn0000490	390	552	365	364	534	631
FBgn0012017	0	0	0	0	0	0
FBgn0012016	0	0	0	0	0	0
FBgn0266824	0	0	0	0	0	0
FBgn0264978	1645	1912	1765	2185	1764	1883
FBgn0011818	4336	4162	5194	1821	2402	2679
FBgn0265818	0	0	0	0	0	0
FBgn0267738	0	0	0	0	0	0
FBgn0264943	0	0	0	0	0	0
FBgn0031431	0	0	0	0	0	0
FBgn0264944	2	1	1	1	0	2
FBgn0031432	1099	1498	973	2330	1706	1726
FBgn0041337	884	1067	743	1308	1205	1145
FBgn0085343	0	0	0	0	0	0
FBgn0026778	0	0	0	0	0	0
FBgn0031434	2280	2026	2733	1769	1322	1182
FBgn0031435	2438	2362	2720	2349	1558	1380
FBgn0031436	3287	5005	3214	6787	4772	4097
FBgn0031437	1612	1951	2035	2530	1569	1598
FBgn0026479	5693	6339	6553	4730	4636	5292
FBgn0250835	252	325	240	597	409	440
FBgn0266025	0	0	0	0	0	0
FBgn0266024	0	0	0	0	0	0
FBgn0263322	0	0	0	0	0	0
FBgn0267269	0	0	0	0	0	0
FBgn0264434	0	0	0	0	0	0
FBgn0031441	0	0	0	0	0	0
FBgn0264433	0	0	0	0	0	0
FBgn0031442	1	0	0	0	0	0
FBgn0026395	2	4	0	0	1	0
FBgn0031443	0	0	0	0	0	0
FBgn0031444	0	0	0	0	0	0
FBgn0041248	0	0	0	1	2	1
FBgn0051690	108	156	109	154	151	156
FBgn0031446	1	1	0	1	2	3
FBgn0031449	5605	6029	6637	4836	4803	5395
FBgn0263564	0	0	0	0	0	0
FBgn0031450	2841	3029	3251	2267	2226	2440
FBgn0031451	39	42	32	39	22	37
FBgn0031452	2235	2119	2757	1621	1463	1410
FBgn0250906	12800	16667	14359	21335	15601	15102
FBgn0031453	14414	16750	17136	14532	13217	13854
FBgn0265997	1	1	0	0	2	1
FBgn0031455	0	0	0	0	0	0
FBgn0031454	0	0	0	0	0	0
FBgn0031456	989	1125	1171	760	711	836
FBgn0031457	1250	1263	1345	811	753	808
FBgn0031458	1442	1466	1584	1213	972	933
FBgn0026324	835	988	942	1246	808	759
FBgn0028398	788	975	927	1257	851	848
FBgn0019830	3695	4965	4428	9143	5968	6351
FBgn0031459	3836	4897	4341	7029	4494	4475
FBgn0031460	12	18	12	36	20	25
FBgn0004242	2941	3078	3224	1192	3053	5098
FBgn0264369	0	0	0	0	0	0
FBgn0031461	417	650	642	442	572	661
FBgn0031462	0	0	2	1	1	1
FBgn0031463	22	40	40	40	48	47
FBgn0031464	8238	7411	9813	3258	4564	5768
FBgn0031465	5	2	3	1	2	4
FBgn0031466	6	13	9	19	7	16
FBgn0031467	1	1	5	1	6	0
FBgn0266881	0	1	0	0	0	2
FBgn0031468	22	22	26	23	23	34
FBgn0031469	0	0	0	1	0	0
FBgn0031470	1	2	3	4	2	1
FBgn0031471	3	2	2	0	3	3
FBgn0031472	2	1	4	1	2	3
FBgn0031473	244	373	323	209	257	331
FBgn0015521	18430	26082	20250	45362	25886	25707
FBgn0031474	2786	2994	2800	1819	2286	2913
FBgn0051694	5802	6473	6772	5592	4955	5726
FBgn0031478	3665	4012	4390	3309	2903	3143
FBgn0031479	718	941	854	1114	774	827
FBgn0051950	174	214	201	395	236	221
FBgn0028970	816	1129	958	1341	940	1027
FBgn0024947	4773	5637	5194	3745	4083	4667
FBgn0041111	3497	3274	3814	1266	2448	3544
FBgn0010263	3654	4865	3455	3148	4269	5725
FBgn0024920	1829	2032	2011	1930	1516	1500
FBgn0004584	3509	3544	4367	2818	2378	2483
FBgn0260639	1523	1471	1807	1148	904	1008
FBgn0031483	6865	6808	8134	5642	4777	4469
FBgn0031484	2969	2838	3238	3523	2178	2079
FBgn0031485	816	1080	1055	1136	821	746
FBgn0250786	8088	7457	8767	3960	5331	7190
FBgn0025109	1292	1371	1497	1090	971	960
FBgn0002989	1404	1338	1529	1143	922	1074
FBgn0025681	3837	3763	4306	1915	2491	3120
FBgn0031488	460	565	475	390	440	372
FBgn0031489	1796	2374	1602	2948	2266	2015
FBgn0031490	176	269	196	252	214	188
FBgn0031491	1445	1456	1618	1110	1051	1169
FBgn0031492	2440	2344	2584	2202	1826	2002
FBgn0031493	4400	4489	5207	3830	3403	3645
FBgn0031494	449	473	405	464	407	423
FBgn0264996	0	0	0	0	1	1
FBgn0031495	1567	1660	1687	1593	1321	1348
FBgn0031496	18	17	13	13	14	6
FBgn0031497	4775	5898	5119	6500	5005	5032
FBgn0031498	657	724	771	908	547	512
FBgn0243513	562	531	626	391	307	365
FBgn0031500	691	833	761	1323	879	901
FBgn0031501	37	48	33	66	43	24
FBgn0042627	6050	8594	5490	6329	8161	10735
FBgn0263847	5	12	16	11	20	25
FBgn0003934	18	17	13	23	20	15
FBgn0027571	48995	59419	44483	43107	66476	79274
FBgn0015600	6411	5745	7567	2964	4434	5781
FBgn0031505	2529	3928	2806	6638	3897	3724
FBgn0011648	4560	4097	4800	2577	2842	3472
FBgn0260817	1193	1116	1270	868	735	892
FBgn0051953	0	1	0	0	0	0
FBgn0014906	4583	4429	5278	2627	2816	3229
FBgn0011985	0	0	0	0	0	0
FBgn0264744	331	323	353	310	251	226
FBgn0264745	703	730	709	484	406	506
FBgn0011984	0	0	0	0	0	0
FBgn0051698	0	0	0	0	0	0
FBgn0031512	0	0	0	0	0	1
FBgn0085422	69	90	88	87	82	112
FBgn0266875	1	0	0	0	0	0
FBgn0266876	2	4	1	2	2	0
FBgn0266877	0	3	3	2	3	4
FBgn0267270	6	8	4	2	7	10
FBgn0265677	0	0	0	0	0	0
FBgn0031513	0	0	0	0	0	0
FBgn0031514	872	1325	936	827	889	1021
FBgn0265678	0	1	0	0	0	1
FBgn0031515	648	792	530	675	669	686
FBgn0031516	1133	1398	1187	840	1127	1329
FBgn0031518	278	466	331	414	464	593
FBgn0031517	3096	4020	2986	4546	3732	3967
FBgn0031519	435	402	452	411	283	344
FBgn0031520	371	554	388	563	442	510
FBgn0053281	158	215	141	266	174	280
FBgn0053282	311	378	253	558	464	505
FBgn0031522	234	323	167	396	309	363
FBgn0031523	449	589	385	781	612	728
FBgn0020445	4943	4278	6258	1883	2156	2691
FBgn0031526	11	14	12	9	12	12
FBgn0085423	4422	4219	5004	2023	3314	4554
FBgn0031528	491	893	561	791	751	667
FBgn0031529	1187	1175	1375	962	662	649
FBgn0016698	1012	1149	1143	1409	999	1107
FBgn0266839	0	0	0	0	0	0
FBgn0259950	0	0	0	0	1	0
FBgn0266026	0	0	0	0	0	0
FBgn0266027	0	0	0	0	0	0
FBgn0031530	420	516	410	291	442	652
FBgn0031533	372	569	305	791	609	759
FBgn0031534	2219	2633	2411	1954	2109	2270
FBgn0031535	2744	2585	3081	2332	1754	1622
FBgn0031536	1400	1514	1518	1121	1017	1243
FBgn0266670	1136	1466	1256	1680	1306	1384
FBgn0031538	1401	2460	1956	3578	2955	3051
FBgn0005616	329	470	400	229	363	428
FBgn0263526	0	0	0	0	0	0
FBgn0021967	3834	5406	4035	8024	5062	4853
FBgn0031540	2350	2222	2745	1791	1474	1625
FBgn0051776	9	5	13	5	8	8
FBgn0051956	486	700	437	685	689	788
FBgn0266912	0	0	0	0	0	1
FBgn0264549	7	4	1	6	3	6
FBgn0261560	5912	8360	6724	10427	6745	6801
FBgn0031542	36	52	44	58	54	37
FBgn0014396	16874	20566	18121	14570	22071	29600
FBgn0266837	11	8	9	12	11	15
FBgn0051954	6	10	14	13	12	13
FBgn0266838	10	10	10	8	13	10
FBgn0053123	7278	7984	8036	8618	7912	8223
FBgn0031544	4062	4313	4364	4750	3463	3757
FBgn0031545	1	0	0	1	0	2
FBgn0031547	33	40	28	57	62	38
FBgn0031548	257	336	280	397	322	376
FBgn0031549	1608	1458	1707	1048	1029	1184
FBgn0031550	6	9	4	10	9	4
FBgn0265367	0	0	0	0	0	0
FBgn0024244	470	670	461	416	549	699
FBgn0265368	0	0	1	0	0	0
FBgn0265960	0	2	0	2	1	2
FBgn0264370	1	0	0	0	0	0
FBgn0264363	0	1	0	0	0	1
FBgn0004892	54	63	62	57	66	87
FBgn0264371	0	0	0	0	0	0
FBgn0002985	203	257	199	202	224	228
FBgn0265369	21	58	30	31	52	45
FBgn0015663	663	839	635	877	805	891
FBgn0031554	34	41	29	56	24	28
FBgn0000721	13155	12469	14026	6546	9156	11190
FBgn0263523	0	0	0	0	0	0
FBgn0085369	52	78	64	49	58	73
FBgn0259951	0	0	0	0	0	0
FBgn0259953	0	0	0	0	0	0
FBgn0259952	1	0	0	0	0	0
FBgn0261054	0	0	0	0	0	0
FBgn0031558	553	813	563	1529	957	1229
FBgn0031559	27	17	12	13	15	21
FBgn0051779	4	0	1	0	2	5
FBgn0263096	6	16	11	10	8	7
FBgn0262721	55	60	48	41	40	38
FBgn0031560	937	1395	1101	1974	1294	1928
FBgn0031561	5277	8157	6478	11721	7378	8394
FBgn0031562	490	697	457	1143	727	804
FBgn0031563	605	988	779	1290	925	897
FBgn0259954	0	0	3	0	0	1
FBgn0259955	1	0	0	0	0	0
FBgn0259956	0	0	0	0	0	0
FBgn0259957	0	0	0	0	0	0
FBgn0262621	0	0	0	0	0	1
FBgn0265370	0	0	0	0	0	0
FBgn0031564	70	73	63	130	69	77
FBgn0051778	787	1147	875	1367	1343	1511
FBgn0051777	270	405	338	623	457	499
FBgn0015376	1584	1569	1638	1025	976	1188
FBgn0051955	142	133	105	146	108	98
FBgn0031566	2559	2615	2999	2012	2026	2353
