Geneid	M3C1	M3C2	M3D1	M3D2	M3D3
FBgn0085737	0	0	0	0	0
FBgn0267594	0	0	0	0	0
FBgn0085807	0	0	0	0	0
FBgn0085746	0	0	0	0	0
FBgn0085751	0	0	0	0	0
FBgn0085748	0	0	0	0	0
FBgn0259849	0	0	0	0	0
FBgn0085494	0	0	0	0	0
FBgn0085828	0	0	0	0	0
FBgn0085744	0	0	0	0	0
FBgn0085756	0	0	0	0	0
FBgn0085752	0	0	0	0	0
FBgn0085755	0	0	0	0	0
FBgn0085805	0	0	0	0	0
FBgn0085757	0	0	0	0	0
FBgn0085506	0	0	0	0	0
FBgn0085816	0	0	0	0	0
FBgn0085758	0	0	0	0	0
FBgn0085759	0	0	0	0	0
FBgn0085760	0	0	0	0	0
FBgn0085799	0	0	0	0	0
FBgn0085826	0	0	0	0	0
FBgn0085764	0	0	0	0	0
FBgn0085761	0	0	0	0	0
FBgn0085825	0	0	0	0	0
FBgn0085766	0	0	0	0	0
FBgn0259870	0	0	0	0	0
FBgn0259817	0	0	0	0	0
FBgn0085768	0	0	0	0	0
FBgn0085511	0	0	0	0	0
FBgn0085772	0	0	0	0	0
FBgn0259864	0	0	0	0	0
FBgn0085817	0	0	0	0	0
FBgn0085827	0	0	0	0	0
FBgn0085773	0	0	0	0	0
FBgn0085822	0	0	0	0	0
FBgn0085803	0	0	0	0	0
FBgn0259837	0	0	0	0	0
FBgn0085795	0	0	0	0	0
FBgn0085808	0	0	0	0	0
FBgn0085692	0	0	0	0	0
FBgn0267595	0	0	0	0	0
FBgn0085540	0	0	0	0	0
FBgn0259842	0	0	0	0	0
FBgn0259839	0	0	0	0	0
FBgn0259840	0	0	0	0	0
FBgn0085777	0	0	0	0	0
FBgn0267596	0	0	0	0	0
FBgn0031208	1	2	2	0	3
FBgn0002121	5513	5761	7752	6350	10471
FBgn0031209	5	7	9	5	11
FBgn0263584	13	12	8	8	18
FBgn0051973	582	546	687	561	923
FBgn0266878	1	0	0	0	0
FBgn0266879	2	0	1	0	0
FBgn0067779	1740	1879	2449	1826	2509
FBgn0266322	20	21	28	35	31
FBgn0031213	4147	4197	4714	3103	4778
FBgn0031214	15	23	25	27	31
FBgn0002931	136	129	157	117	231
FBgn0031216	2110	2245	2779	2195	3399
FBgn0031217	1518	1632	1953	1430	1791
FBgn0026787	1224	1231	1470	1022	1405
FBgn0005278	19513	18445	18898	14906	23586
FBgn0031228	4898	5154	4745	2963	4250
FBgn0031219	22	27	24	7	12
FBgn0031220	2631	2699	2365	2026	2864
FBgn0025683	14165	14332	17350	13822	19578
FBgn0266304	9	14	7	16	9
FBgn0001142	6341	6774	9079	6694	8250
FBgn0265074	4	4	7	4	4
FBgn0265075	1	0	0	0	1
FBgn0051976	0	0	0	0	0
FBgn0051975	0	0	0	0	0
FBgn0051974	2744	2737	1932	1536	2265
FBgn0031224	863	999	1098	653	855
FBgn0259818	197	195	180	141	236
FBgn0031227	856	955	1168	621	885
FBgn0031229	2488	2419	2998	1774	2178
FBgn0053635	336	297	378	239	260
FBgn0016977	4106	4337	6706	6624	10159
FBgn0031231	1422	1504	1728	1014	1312
FBgn0031232	421	404	376	274	314
FBgn0031233	1719	1766	2540	1795	2339
FBgn0266557	8658	9221	15055	13837	21121
FBgn0265151	1	0	1	0	0
FBgn0265153	1	1	1	0	0
FBgn0265152	0	0	1	0	0
FBgn0263465	0	0	0	0	0
FBgn0262252	0	0	0	0	0
FBgn0265149	2	3	2	2	1
FBgn0022246	700	737	731	487	655
FBgn0031238	1179	1211	1340	881	1075
