Geneid	M4C1	M4C2	M4C4	M4D1	M4D2	M4D4
FBgn0085737	0	0	0	0	0	0
FBgn0267594	0	0	0	0	0	0
FBgn0085807	0	0	0	0	0	0
FBgn0085746	0	0	0	0	0	0
FBgn0085751	0	0	0	0	0	0
FBgn0085748	0	0	0	0	0	0
FBgn0259849	0	0	0	0	0	0
FBgn0085494	0	0	0	0	0	0
FBgn0085828	0	0	0	0	0	0
FBgn0085744	0	0	0	0	0	0
FBgn0085756	0	0	0	0	0	0
FBgn0085752	0	0	0	0	0	0
FBgn0085755	0	0	0	0	0	0
FBgn0085805	0	0	0	0	0	0
FBgn0085757	0	0	0	0	0	0
FBgn0085506	0	0	0	0	0	0
FBgn0085816	0	0	0	0	0	0
FBgn0085758	0	0	0	0	0	0
FBgn0085759	0	0	0	0	0	0
FBgn0085760	0	0	0	0	0	0
FBgn0085799	0	0	0	0	0	0
FBgn0085826	0	0	0	0	0	0
FBgn0085764	0	0	0	0	0	0
FBgn0085761	0	0	0	0	0	0
FBgn0085825	0	0	0	0	0	0
FBgn0085766	0	0	0	0	0	0
FBgn0259870	0	0	0	0	0	0
FBgn0259817	0	0	0	0	0	0
FBgn0085768	0	0	0	0	0	0
FBgn0085511	0	0	0	0	0	0
FBgn0085772	0	0	0	0	0	0
FBgn0259864	0	0	0	0	0	0
FBgn0085817	0	0	0	0	0	0
FBgn0085827	0	0	0	0	0	0
FBgn0085773	0	0	0	0	0	0
FBgn0085822	0	0	0	0	0	0
FBgn0085803	0	0	0	0	0	0
FBgn0259837	0	0	0	0	0	0
FBgn0085795	0	0	0	0	0	0
FBgn0085808	0	0	0	0	0	0
FBgn0085692	0	0	0	0	0	0
FBgn0267595	0	0	0	0	0	0
FBgn0085540	0	0	0	0	0	0
FBgn0259842	0	0	0	0	0	0
FBgn0259839	0	0	0	0	0	0
FBgn0259840	0	0	0	0	0	0
FBgn0085777	0	0	0	0	0	0
FBgn0267596	0	0	0	0	0	0
FBgn0031208	6	6	3	3	10	8
FBgn0002121	8287	7207	5997	7440	8060	12458
FBgn0031209	5	4	4	5	4	10
FBgn0263584	20	23	14	27	15	20
FBgn0051973	578	780	378	598	859	1149
FBgn0266878	2	0	0	0	0	0
FBgn0266879	0	0	0	0	0	2
FBgn0067779	2100	1659	1343	1648	1946	2748
FBgn0266322	10	14	9	14	10	25
FBgn0031213	3591	2935	2488	2705	3294	4120
FBgn0031214	12	19	11	29	37	27
FBgn0002931	85	103	87	95	85	98
FBgn0031216	2392	2227	1671	1835	2461	3172
FBgn0031217	1333	1074	1002	1164	1139	1570
FBgn0026787	1240	1041	934	938	1028	1435
FBgn0005278	16905	16626	13608	13127	14352	16672
FBgn0031228	3381	3143	2350	2965	3379	3434
FBgn0031219	13	17	15	18	16	22
FBgn0031220	1818	1973	1687	1474	1626	2097
FBgn0025683	14631	15489	13238	13430	13596	17685
FBgn0266304	3	2	6	4	8	5
FBgn0001142	6986	6008	5601	7227	6457	8577
FBgn0265074	5	5	15	20	25	20
FBgn0265075	0	0	0	1	1	0
FBgn0051976	0	0	0	0	0	0
FBgn0051975	0	0	0	0	0	0
FBgn0051974	1037	1159	954	976	1076	1274
FBgn0031224	987	776	670	973	844	1031
FBgn0259818	242	217	159	209	176	247
FBgn0031227	907	724	636	867	833	1026
FBgn0031229	1821	1564	1344	1608	1565	2192
FBgn0053635	304	236	199	231	231	326
FBgn0016977	8568	8758	5765	11175	10978	16822
FBgn0031231	1276	987	919	1186	1062	1309
FBgn0031232	102	108	39	48	107	67
FBgn0031233	1954	1525	1428	1814	1675	2506
FBgn0266557	21778	18035	12236	22827	24356	35831
FBgn0265151	0	0	0	0	0	0
FBgn0265153	0	0	0	0	0	2
FBgn0265152	0	0	0	0	0	1
FBgn0263465	0	0	0	0	0	0
FBgn0262252	0	0	0	0	0	0
FBgn0265149	0	5	1	2	3	3
FBgn0022246	521	539	428	510	560	557
FBgn0031238	934	712	689	819	748	944
FBgn0031239	148	188	97	135	198	241
FBgn0265150	1	0	0	0	1	0
FBgn0031240	4	4	10	5	10	4
FBgn0086912	3979	2858	2781	3280	3229	3904
FBgn0086856	1410	1013	937	1140	1215	1428
FBgn0086855	2718	1695	1648	2196	2219	3139
FBgn0003444	1680	1272	966	1203	1394	1872
FBgn0031244	958	955	719	880	830	1087
FBgn0031245	1618	1790	1578	1560	1621	1939
FBgn0025686	15	32	21	14	40	28
FBgn0031247	768	644	545	751	753	842
FBgn0017457	1930	1366	1373	1695	1552	2123
FBgn0024352	8895	6286	5628	6830	6475	9489
FBgn0020622	3684	2565	2158	2707	3038	4735
FBgn0004611	3271	2977	2227	3042	3184	4530
FBgn0263872	0	0	0	0	2	0
FBgn0031248	83	69	46	43	22	37
FBgn0031249	2524	2939	2500	1024	1149	1044
FBgn0053127	1480	1646	1442	1431	1459	1508
FBgn0264086	2	6	4	11	3	10
FBgn0051921	0	0	0	0	0	0
FBgn0031250	1817	1699	1433	1347	1428	1864
FBgn0266907	0	2	2	1	1	0
FBgn0266906	39	32	29	18	25	29
FBgn0000061	13	10	11	19	11	13
FBgn0263871	0	0	0	0	0	0
FBgn0031251	741	861	388	530	759	664
FBgn0003278	2715	2232	1855	2150	2234	2487
FBgn0264855	4588	3987	3134	4145	3950	5677
FBgn0263933	5029	3354	3090	4028	3927	5519
FBgn0031252	1160	629	695	901	828	1137
FBgn0002593	61678	64691	53655	57989	55655	57660
FBgn0031253	476	388	342	384	412	495
FBgn0031254	0	1	0	1	0	0
FBgn0031255	11	15	9	16	22	19
FBgn0004583	998	1113	752	939	952	1303
FBgn0263870	0	1	0	0	1	3
FBgn0015924	6956	5532	4358	5748	5888	8255
FBgn0031256	1898	1399	1346	1657	1550	1955
FBgn0262510	0	0	0	0	0	1
FBgn0031257	106	136	114	86	81	132
FBgn0031258	533	666	499	609	696	868
FBgn0027592	2025	1540	1492	1921	1748	2422
FBgn0003963	1350	1325	1093	1397	1139	1475
FBgn0043364	2503	2850	2170	1454	1839	2047
FBgn0010602	4273	3278	3071	3772	3312	4052
FBgn0031260	3006	2576	2342	2468	2494	2914
FBgn0005660	67	90	98	100	97	75
FBgn0031261	121	172	163	197	138	306
FBgn0260933	135	139	134	123	118	157
FBgn0031263	5270	4419	4148	5314	4452	4941
FBgn0031264	131	152	68	128	143	175
FBgn0031265	976	906	808	789	831	840
FBgn0021874	1182	1256	1008	1161	1057	1164
FBgn0031266	2669	2496	2121	2711	2673	3334
FBgn0031267	1662	1123	1145	1400	1341	1835
FBgn0031268	1082	742	708	762	974	1229
FBgn0013323	52	68	80	65	71	67
FBgn0023489	132	129	105	127	125	161
FBgn0010323	15	6	10	5	5	5
FBgn0031270	288	213	214	258	262	342
FBgn0263657	0	0	0	0	0	0
FBgn0263658	0	0	0	0	0	0
FBgn0040106	0	0	0	0	0	0
FBgn0266032	0	0	0	0	0	0
FBgn0266033	0	0	0	0	0	0
FBgn0040107	0	0	0	0	0	0
FBgn0031273	0	0	0	0	1	1
FBgn0266909	0	0	0	0	1	0
FBgn0000497	152	168	82	113	126	176
FBgn0266323	0	0	0	0	0	0
FBgn0011244	0	0	0	0	1	0
FBgn0026438	1832	2186	1276	1417	1813	2318
FBgn0031275	256	249	189	288	233	343
FBgn0265825	0	0	0	0	0	0
FBgn0031276	0	1	5	6	6	10
FBgn0040725	0	0	4	5	5	17
FBgn0031277	38	56	118	202	172	190
FBgn0041250	0	3	1	1	0	2
FBgn0000442	359	438	392	335	319	360
FBgn0266797	0	2	0	1	0	0
FBgn0051658	460	323	275	394	409	501
FBgn0086130	1325	977	911	1168	1134	1239
FBgn0031281	557	433	417	429	406	519
FBgn0031282	398	310	256	380	323	439
FBgn0031283	0	0	0	0	0	0
FBgn0031284	548	405	384	422	448	609
FBgn0015621	962	573	601	814	699	917
FBgn0031285	11504	12747	10561	10963	11689	13333
FBgn0031286	590	431	430	436	452	647
FBgn0010583	2294	1902	1650	2119	2096	2945
FBgn0020304	4403	4287	3431	3809	3848	4962
FBgn0264869	3	0	1	0	2	2
FBgn0031287	472	332	363	433	467	499
FBgn0020545	3002	2571	2909	2265	2142	2469
FBgn0031288	10	11	6	4	11	3
FBgn0266884	11	5	2	2	7	1
FBgn0262177	0	0	0	0	0	0
FBgn0031289	48	68	59	43	64	65
FBgn0029095	1090	1132	972	1166	1006	1341
FBgn0086031	1	1	0	1	6	3
FBgn0020305	1451	1135	1200	1230	1184	1435
FBgn0053526	6403	6203	4880	5501	6416	7766
FBgn0031292	4	5	0	1	1	4
FBgn0002936	800	782	611	689	715	753
FBgn0266887	1	0	0	0	0	0
FBgn0002563	27	28	14	30	46	33
FBgn0003916	6	1	1	14	5	7
FBgn0266799	1	2	4	0	1	6
FBgn0264870	0	0	1	0	0	0
FBgn0046113	152	165	128	128	174	167
FBgn0028481	245	351	205	246	267	357
FBgn0266036	0	0	0	0	0	0
FBgn0031294	5348	7509	5254	5924	6403	10065
FBgn0031295	2	0	2	0	0	0
FBgn0031296	2	2	3	7	4	11
FBgn0003310	3411	2368	1871	2328	2638	3544
FBgn0015905	1050	831	793	1113	937	1212
FBgn0031298	1902	1690	1506	1901	1720	2301
FBgn0031299	563	602	526	526	575	712
FBgn0261938	1998	1858	1470	1944	1814	2246
FBgn0031301	0	0	0	0	0	0
FBgn0031302	21	25	12	24	19	28
FBgn0016926	8387	7927	7482	5596	7390	8199
FBgn0031304	1549	1350	1305	1406	1348	1787
FBgn0031305	2359	2749	2150	2891	2517	2801
FBgn0031306	1427	1739	1540	1401	1470	1837
FBgn0267281	0	1	0	3	2	1
FBgn0031307	126	136	117	118	145	155
FBgn0031308	503	385	384	480	454	497
FBgn0031309	846	539	506	635	597	719
FBgn0031310	1118	868	806	985	936	1192
FBgn0261458	6023	5172	5036	5867	4928	6335
FBgn0264267	9	9	4	3	5	6
FBgn0031312	1980	1475	1472	1964	1675	2231
FBgn0031313	1867	2187	2190	2174	1658	2225
FBgn0031314	765	582	654	773	640	861
FBgn0031315	427	345	341	451	373	457
FBgn0024314	3557	2531	2519	3345	2656	3554
FBgn0051922	136	87	86	83	103	107
FBgn0031317	919	649	784	835	800	966
FBgn0031318	2365	2201	1770	2203	2293	2789
FBgn0031319	1322	1131	880	1080	1187	1518
FBgn0031320	1168	963	902	1195	1035	1465
FBgn0031321	694	616	557	578	608	658
FBgn0031322	765	860	656	653	752	794
FBgn0263080	175	174	249	185	309	157
FBgn0263081	1402	1467	1461	1846	1857	1668
FBgn0040723	742	830	769	755	804	866
FBgn0031324	4	6	10	8	6	10
FBgn0266885	0	0	0	0	0	0
FBgn0262944	0	0	0	0	0	0
FBgn0259229	62	102	81	70	95	81
FBgn0031327	592	769	521	594	702	816
FBgn0041097	153	200	138	167	205	243
FBgn0011294	90	133	100	81	132	106
FBgn0031331	0	0	0	0	0	0
FBgn0053923	0	0	0	0	0	0
FBgn0053922	0	2	0	0	0	0
FBgn0266357	0	0	0	0	0	0
FBgn0266358	0	0	0	0	0	0
FBgn0053126	2907	3058	2164	2597	2900	3110
FBgn0031337	2	3	0	2	0	0
FBgn0266203	0	0	0	0	0	0
FBgn0002543	343	359	291	294	302	347
FBgn0266202	0	1	0	0	0	0
FBgn0263320	0	0	0	0	0	0
FBgn0003926	0	0	0	0	0	0
FBgn0263321	470	571	662	316	406	430
FBgn0051928	467	505	430	422	707	642
FBgn0053128	3	0	22	31	20	58
FBgn0051926	353	270	370	412	530	363
FBgn0051661	687	871	458	807	830	979
FBgn0031343	3	2	0	2	1	1
FBgn0031344	719	611	536	665	570	701
FBgn0264873	0	0	0	0	0	0
FBgn0031345	0	1	0	0	0	0
FBgn0001174	58	133	123	120	180	75
FBgn0264881	0	0	0	0	0	0
FBgn0026398	1	5	10	4	7	4
FBgn0026397	5	2	4	3	7	1
FBgn0261509	74	95	55	65	89	131
FBgn0031347	19	9	5	15	5	8
FBgn0051935	1303	1130	876	1106	1151	1528
FBgn0031351	425	303	339	404	375	486
FBgn0021906	6121	6201	4706	5170	5196	5582
FBgn0265814	1	3	0	0	2	0
FBgn0267259	0	0	0	0	0	0
FBgn0086758	163	209	117	162	303	387
FBgn0011570	3278	2475	2288	2759	2593	3528
FBgn0031356	1913	1572	1415	1649	1735	2332
FBgn0266311	4	7	15	4	1	3
FBgn0031357	683	570	509	718	617	637
FBgn0086698	790	621	522	744	654	981
FBgn0031359	2062	2173	1455	1592	2037	2337
FBgn0000579	46710	36746	33949	48736	39034	56256
FBgn0260648	710	610	518	609	579	603
FBgn0031360	3005	2724	2609	4015	3225	3405
FBgn0031361	607	512	473	564	638	645
FBgn0264494	4248	5089	4064	3053	3333	4013
FBgn0027597	780	551	558	672	600	781
FBgn0031364	0	0	0	0	0	0
FBgn0041249	1	0	0	0	1	0
FBgn0031365	16	10	6	12	2	5
FBgn0045497	0	0	0	0	0	0
FBgn0045498	0	0	0	0	0	0
FBgn0265138	0	0	0	0	0	1
FBgn0045500	0	0	0	0	0	0
FBgn0045501	0	0	0	0	0	0
FBgn0051933	0	0	0	1	0	0
FBgn0051664	154	198	173	209	161	218
FBgn0262275	0	0	0	0	0	0
FBgn0051665	556	731	448	513	559	871
FBgn0264882	0	0	0	0	0	0
FBgn0264883	0	0	0	0	0	0
FBgn0051663	1523	1907	1741	985	1184	1601
FBgn0031372	0	0	0	0	0	0
FBgn0264884	0	0	0	0	0	0
FBgn0031373	186	189	62	234	180	238
FBgn0031374	5968	5642	4100	5831	5989	8724
FBgn0011859	0	0	0	0	0	0
FBgn0053673	0	0	0	0	0	0
FBgn0031375	33	30	20	21	36	28
FBgn0051942	0	0	0	0	0	0
FBgn0031376	1885	1440	1353	1450	1493	1783
FBgn0031377	2135	1474	1317	2076	1822	2579
FBgn0031378	450	291	311	385	371	521
FBgn0031379	1289	1046	1012	1179	1151	1472
FBgn0001125	12174	10915	9457	19509	15907	19395
FBgn0031381	3346	3036	2620	3671	2963	3092
FBgn0262148	19	9	14	16	13	17
FBgn0043539	0	1	0	0	0	0
FBgn0053543	165	201	138	158	190	277
FBgn0263441	0	0	0	1	1	0
FBgn0040718	116	119	82	83	122	93
FBgn0267276	0	0	0	0	0	0
FBgn0040717	21	25	33	44	46	56
FBgn0051943	0	0	0	0	0	0
FBgn0051944	0	0	0	0	0	0
FBgn0031384	2209	1793	1399	2000	1843	2622
FBgn0051939	0	0	0	0	0	0
FBgn0051940	0	0	0	0	0	0
FBgn0051669	0	0	0	0	0	0
FBgn0011860	0	0	0	0	0	0
FBgn0259192	11	9	8	8	22	15
FBgn0259230	1	0	1	0	2	0
FBgn0003557	5096	4075	3429	4169	4226	5783
FBgn0266836	8	4	0	2	3	5
FBgn0028952	492	299	319	397	424	538
FBgn0026396	0	0	0	0	0	1
FBgn0053516	75	99	58	47	79	112
FBgn0031388	0	0	0	0	0	0
FBgn0266043	0	0	0	0	0	0
FBgn0264864	0	0	0	0	0	0
FBgn0031389	360	430	385	446	501	593
FBgn0004507	18291	15605	12085	17031	14862	19975
FBgn0031390	3428	3170	2618	3673	3363	5025
FBgn0031391	939	678	632	782	828	1031
FBgn0027509	1839	1501	1307	1678	1678	2200
FBgn0031392	3488	2562	2320	2957	2799	4043
FBgn0031393	45	91	73	80	97	48
FBgn0000097	1524	1426	1129	1399	1439	2126
FBgn0265017	12	10	2	6	14	8
FBgn0264875	0	0	0	0	0	0
FBgn0051946	0	0	0	0	0	0
FBgn0266828	1	3	2	1	0	0
FBgn0031395	1477	1202	982	1230	1199	1689
FBgn0264874	31	24	5	21	22	29
FBgn0085201	1133	904	299	332	1134	687
FBgn0051668	0	0	1	1	2	3
FBgn0053124	2	0	5	4	2	4
FBgn0031397	345	350	335	331	395	401
FBgn0010288	5183	3969	3997	4625	4190	5643
FBgn0085203	274	210	200	209	287	287
FBgn0031398	1049	770	738	926	947	1257
FBgn0259717	0	0	0	0	0	0
FBgn0040715	0	0	0	0	0	0
FBgn0031399	1419	1132	941	1387	1181	1607
FBgn0031401	2025	1586	1348	1589	1693	2018
FBgn0031403	506	331	351	438	415	561
FBgn0267378	3559	3097	2718	3293	3398	4409
FBgn0264945	11	6	5	7	7	15
FBgn0262126	3987	3331	2823	3760	3523	4701
FBgn0264946	2	0	0	1	0	0
FBgn0051679	0	0	0	0	0	0
FBgn0052463	0	0	0	0	0	0
FBgn0051682	2	4	2	1	1	1
FBgn0264979	1583	1150	1166	1430	1320	1734
FBgn0262106	1	0	2	2	5	0
FBgn0011832	0	0	0	0	0	0
FBgn0042186	497	745	485	507	476	382
FBgn0042187	10	22	59	11	19	19
FBgn0031406	931	1276	1041	765	734	669
FBgn0266022	0	0	0	0	0	0
FBgn0266023	0	0	0	0	0	0
FBgn0054049	0	0	0	0	0	0
FBgn0264084	0	2	0	0	1	1
FBgn0264085	8	10	9	2	4	10
FBgn0031409	0	0	0	0	0	0
FBgn0051681	1336	1615	1203	1215	1295	1264
FBgn0261523	0	0	0	0	0	0
FBgn0031410	0	0	0	0	0	0
FBgn0028570	0	0	0	0	0	0
FBgn0051949	0	0	0	1	0	0
FBgn0031412	55	55	93	68	48	55
FBgn0031413	569	418	381	509	405	570
FBgn0031414	1446	2008	891	1421	1707	2387
FBgn0014010	6672	6279	5591	5844	5997	7709
FBgn0261647	1484	1364	1206	1319	1399	1820
FBgn0031417	897	1025	821	1564	1024	1259
FBgn0031418	3805	3493	2933	5466	4748	5594
FBgn0031419	275	209	193	204	249	247
FBgn0266317	3	3	4	0	3	4
FBgn0031420	1245	983	899	1209	1060	1483
FBgn0264672	598	499	444	576	468	614
FBgn0031422	241	160	148	189	192	268
FBgn0031423	3	0	0	0	0	0
FBgn0264081	0	1	0	1	0	0
FBgn0031424	482	557	387	400	522	841
FBgn0031426	8	13	9	10	5	12
FBgn0051948	0	0	0	0	0	0
FBgn0085477	0	1	0	1	1	0
FBgn0085476	0	0	1	0	4	0
FBgn0031428	576	664	531	1068	926	1107
FBgn0264988	0	0	0	0	0	0
FBgn0266217	6	9	8	11	6	8
FBgn0000490	312	389	289	373	367	487
FBgn0012017	0	0	0	0	0	0
FBgn0012016	0	0	0	0	0	0
FBgn0266824	0	0	0	0	0	0
FBgn0264978	1437	1254	1143	1345	1238	1564
FBgn0011818	2135	1486	1335	1702	1661	2723
FBgn0265818	0	0	0	0	0	0
FBgn0267738	0	0	0	0	0	0
FBgn0264943	0	0	0	0	0	0
FBgn0031431	0	0	0	0	0	0
FBgn0264944	2	0	1	0	3	0
FBgn0031432	466	379	374	691	653	756
FBgn0041337	271	320	223	514	508	509
FBgn0085343	0	0	0	0	0	0
FBgn0026778	0	0	0	0	0	0
FBgn0031434	1389	933	873	1110	1236	1679
FBgn0031435	1832	1075	1285	1618	1505	1993
FBgn0031436	3017	2720	1682	2200	2640	2557
FBgn0031437	1421	1135	1209	1408	1325	1413
FBgn0026479	4559	3812	3371	4256	3773	5185
FBgn0250835	61	73	52	59	60	74
FBgn0266025	0	0	0	0	0	0
FBgn0266024	0	0	0	0	0	0
FBgn0263322	0	0	0	0	0	0
FBgn0267269	0	0	0	0	0	0
FBgn0264434	0	0	0	0	0	0
FBgn0031441	0	0	0	0	0	0
FBgn0264433	0	0	0	0	0	0
FBgn0031442	0	0	0	0	0	0
FBgn0026395	0	1	3	0	1	3
FBgn0031443	0	0	0	0	0	0
FBgn0031444	0	0	0	0	0	0
FBgn0041248	0	0	0	0	0	0
FBgn0051690	117	144	90	95	101	133
FBgn0031446	0	1	0	1	1	1
FBgn0031449	4099	3700	3065	4141	3865	5392
FBgn0263564	0	0	0	0	0	0
FBgn0031450	2204	1751	1702	2055	1893	2502
FBgn0031451	35	32	18	30	36	30
FBgn0031452	1582	1060	1017	1450	1425	1873
FBgn0250906	13969	11555	9193	13776	12036	14536
FBgn0031453	12329	11394	10407	10318	10669	13236
FBgn0265997	0	1	0	0	0	1
FBgn0031455	0	0	0	0	0	0
FBgn0031454	0	0	0	0	0	0
FBgn0031456	708	578	526	637	727	884
FBgn0031457	860	640	565	707	703	881
FBgn0031458	1002	635	722	770	727	1029
FBgn0026324	566	467	422	556	533	605
FBgn0028398	743	605	555	651	607	714
FBgn0019830	3860	3587	3488	6098	4415	5581
FBgn0031459	3905	3389	2861	3901	3498	3993
FBgn0031460	10	0	5	10	9	11
FBgn0004242	2356	3223	1583	2185	2837	4420
FBgn0264369	0	0	0	0	0	1
FBgn0031461	796	1166	1030	568	583	772
FBgn0031462	1	1	0	0	0	0
FBgn0031463	35	27	20	22	20	29
FBgn0031464	5787	3814	3369	4785	4348	6676
FBgn0031465	1	4	2	1	0	2
FBgn0031466	10	8	7	7	12	12
FBgn0031467	1	0	0	3	6	0
FBgn0266881	0	1	0	0	0	0
FBgn0031468	36	29	18	25	21	43
FBgn0031469	0	0	0	0	0	0
FBgn0031470	0	0	5	6	2	5
FBgn0031471	13	22	15	15	22	25
FBgn0031472	0	0	0	0	0	1
FBgn0031473	192	282	194	188	242	236
FBgn0015521	19890	20125	16322	19700	19484	18394
FBgn0031474	1960	1914	1420	1642	1836	2264
FBgn0051694	4944	4630	3833	4280	4353	5229
FBgn0031478	2903	2438	2075	2500	2442	3026
FBgn0031479	615	587	518	590	576	646
FBgn0051950	197	178	180	213	181	228
FBgn0028970	867	878	899	979	873	880
FBgn0024947	3114	2997	2534	2436	2663	3553
FBgn0041111	2642	2466	1886	2768	2476	3793
FBgn0010263	2577	3046	2042	2167	2753	3626
FBgn0024920	2120	1526	1408	1812	1659	2465
FBgn0004584	2695	1697	1559	2196	2090	2844
FBgn0260639	848	670	644	750	749	956
FBgn0031483	2909	1746	1807	2711	2596	3694
FBgn0031484	1189	689	742	955	880	1165
FBgn0031485	727	650	583	610	632	686
FBgn0250786	7037	5145	4611	6677	6246	9108
FBgn0025109	882	645	597	755	683	1014
FBgn0002989	1212	783	717	1051	1021	1508
FBgn0025681	2522	2124	1830	2398	2184	3196
FBgn0031488	377	328	291	298	382	388
FBgn0031489	839	978	1121	896	846	1019
FBgn0031490	114	126	236	165	98	162
FBgn0031491	916	770	714	787	745	940
FBgn0031492	1784	1292	1258	1704	1533	2098
FBgn0031493	3718	2876	2636	3432	3150	4340
FBgn0031494	300	294	232	226	282	290
FBgn0264996	0	0	0	0	0	0
FBgn0031495	1072	904	785	1117	927	1241
FBgn0031496	11	8	9	6	5	14
FBgn0031497	4303	3773	3523	4174	3510	4256
FBgn0031498	567	435	395	567	472	628
FBgn0243513	298	173	190	213	241	344
FBgn0031500	593	523	447	538	474	574
FBgn0031501	45	55	45	59	63	86
FBgn0042627	8433	10225	6793	8145	8789	10678
FBgn0263847	6	10	8	18	19	20
FBgn0003934	12	5	6	5	16	12
FBgn0027571	51871	72969	54343	52436	45302	62348
FBgn0015600	5661	4577	3561	5239	5213	7350
FBgn0031505	2701	2481	1604	2581	2711	2708
FBgn0011648	2816	2166	2004	2796	2565	3745
FBgn0260817	1009	722	658	794	768	1045
FBgn0051953	0	0	0	0	0	0
FBgn0014906	2145	1763	1526	1663	1651	2450
FBgn0011985	0	0	0	0	0	0
FBgn0264744	271	183	175	203	199	262
FBgn0264745	550	409	361	477	429	552
FBgn0011984	0	0	0	0	0	0
FBgn0051698	0	0	0	0	0	0
FBgn0031512	0	0	0	0	0	0
FBgn0085422	88	80	32	54	67	80
FBgn0266875	0	0	0	0	0	0
FBgn0266876	1	1	0	0	0	0
FBgn0266877	0	0	1	0	0	0
FBgn0267270	3	2	2	2	0	1
FBgn0265677	0	0	0	0	0	0
FBgn0031513	0	0	0	0	0	0
FBgn0031514	706	841	678	334	391	526
FBgn0265678	0	0	0	0	1	0
FBgn0031515	614	667	516	598	661	703
FBgn0031516	690	756	675	702	746	881
FBgn0031518	219	238	174	165	211	318
FBgn0031517	1971	2285	2036	2272	2110	2653
FBgn0031519	328	213	197	333	265	370
FBgn0031520	338	345	346	341	367	438
FBgn0053281	159	198	251	195	212	249
FBgn0053282	78	60	85	134	131	153
FBgn0031522	402	441	524	561	566	604
FBgn0031523	391	412	469	412	434	486
FBgn0020445	2468	1647	1227	1698	2000	2721
FBgn0031526	10	4	7	3	16	14
FBgn0085423	2872	2532	2065	2748	2714	4256
FBgn0031528	566	528	289	317	566	524
FBgn0031529	686	447	383	551	512	726
FBgn0016698	1053	884	741	949	929	1127
FBgn0266839	0	0	0	0	0	0
FBgn0259950	0	0	2	0	0	0
FBgn0266026	0	0	0	0	0	0
FBgn0266027	0	0	0	0	0	0
FBgn0031530	227	259	196	170	217	334
FBgn0031533	297	352	197	388	476	432
FBgn0031534	1742	1741	1432	1641	1648	2062
FBgn0031535	1846	1022	1158	1440	1378	1924
FBgn0031536	1076	891	827	973	962	1202
FBgn0266670	1284	1102	971	1248	1128	1395
FBgn0031538	1590	1903	1660	2663	2149	2394
FBgn0005616	265	272	235	267	272	341
FBgn0263526	0	0	0	0	0	0
FBgn0021967	3622	3521	2490	3433	3308	3622
FBgn0031540	1497	940	1076	1471	1349	1975
FBgn0051776	8	3	0	3	12	6
FBgn0051956	314	419	187	330	351	480
FBgn0266912	0	0	0	0	0	0
FBgn0264549	3	6	8	2	4	6
FBgn0261560	8255	8617	6768	7298	7644	7731
FBgn0031542	77	102	109	68	96	101
FBgn0014396	11354	13549	9399	12242	13141	17646
FBgn0266837	6	9	6	6	11	7
FBgn0051954	1	1	2	1	1	3
FBgn0266838	8	5	1	6	1	10
FBgn0053123	7121	6322	5336	6433	6132	7636
FBgn0031544	3200	2678	2363	3003	2802	3511
FBgn0031545	0	0	0	1	0	0
FBgn0031547	57	86	62	74	103	79
FBgn0031548	225	335	226	233	265	322
FBgn0031549	1321	882	877	1250	1132	1743
FBgn0031550	5	7	6	5	9	9
FBgn0265367	0	0	0	0	0	0
FBgn0024244	434	524	420	435	487	557
FBgn0265368	0	0	0	0	0	0
FBgn0265960	2	2	0	1	1	0
FBgn0264370	0	0	0	0	0	0
FBgn0264363	0	0	0	0	0	0
FBgn0004892	61	59	44	62	53	73
FBgn0264371	0	0	0	0	0	0
FBgn0002985	158	185	165	160	165	180
FBgn0265369	27	30	20	16	43	34
FBgn0015663	458	479	413	453	507	565
FBgn0031554	63	28	38	42	20	20
FBgn0000721	10136	8719	7433	9208	8547	13500
FBgn0263523	0	1	1	0	0	1
FBgn0085369	61	57	57	45	36	73
FBgn0259951	0	0	0	0	0	0
FBgn0259953	0	0	0	0	0	0
FBgn0259952	0	0	0	0	0	0
FBgn0261054	0	0	0	0	0	0
FBgn0031558	390	506	422	714	644	553
FBgn0031559	7	8	15	10	8	5
FBgn0051779	0	1	0	1	0	1
FBgn0263096	5	8	1	3	4	5
FBgn0262721	16	33	33	13	20	39
FBgn0031560	569	680	718	569	740	708
FBgn0031561	5106	5461	6540	6600	6970	5809
FBgn0031562	301	290	285	211	327	370
FBgn0031563	666	845	813	609	728	725
FBgn0259954	2	2	0	1	0	2
FBgn0259955	0	0	0	1	0	0
FBgn0259956	0	0	0	0	1	0
FBgn0259957	0	0	0	0	0	0
FBgn0262621	0	0	0	0	0	0
FBgn0265370	0	0	0	0	0	0
FBgn0031564	71	60	49	65	79	71
FBgn0051778	836	945	754	938	962	1034
FBgn0051777	272	318	238	322	346	307
FBgn0015376	1511	922	964	1202	1184	1866
FBgn0051955	77	62	76	39	64	70
FBgn0031566	1916	1556	1335	1599	1711	2140
FBgn0040104	2	4	11	21	9	16
FBgn0003386	363	433	286	348	422	651
FBgn0031568	47	57	40	47	40	90
FBgn0263846	264	367	182	268	328	443
FBgn0263842	0	0	0	0	0	0
FBgn0262392	0	0	0	0	0	0
FBgn0263843	1	2	1	1	1	0
FBgn0004893	616	675	526	550	656	828
FBgn0051958	0	0	0	0	0	0
FBgn0031571	903	1188	870	857	942	1196
