Geneid	B7C1	B7C2	B7C4	B7D1	B7D3	B7D4	D6C1	D6C2	D6C3	D6D1	D6D2	D6D3	F9C3	F9C4	F9D1	F9D3	F9D4
FBgn0085737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0267594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0259849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0259870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0259817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0259864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0259837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0267595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
