Sample	Strain	Treatment	Batch	Resistance
B7C1	BZ37	Control	A	Sensitive
B7C2	BZ37	Control	A	Sensitive
B7C4	BZ37	Control	A	Sensitive
B7D1	BZ37	Treated	A	Sensitive
B7D3	BZ37	Treated	A	Sensitive
B7D4	BZ37	Treated	A	Sensitive
D6C1	DEN62	Control	B	Sensitive
D6C2	DEN62	Control	B	Sensitive
D6C3	DEN62	Control	B	Sensitive
D6D1	DEN62	Treated	B	Sensitive
D6D2	DEN62	Treated	B	Sensitive
D6D3	DEN62	Treated	B	Sensitive
F9C3	FIN19	Control	C	Sensitive
F9C4	FIN19	Control	C	Sensitive
F9D1	FIN19	Treated	C	Sensitive
F9D3	FIN19	Treated	C	Sensitive
F9D4	FIN19	Treated	C	Sensitive
G4C1	GIM44	Control	A	Resistant
G4C2	GIM44	Control	A	Resistant
G4C4	GIM44	Control	A	Resistant
G4D1	GIM44	Treated	A	Resistant
G4D2	GIM44	Treated	A	Resistant
G4D4	GIM44	Treated	A	Resistant
M3C1	MUN33	Control	C	Resistant
M3C2	MUN33	Control	C	Resistant
M3D1	MUN33	Treated	C	Resistant
M3D2	MUN33	Treated	C	Resistant
M3D3	MUN33	Treated	C	Resistant
M4C1	MUN24	Control	B	Resistant
M4C2	MUN24	Control	B	Resistant
M4C4	MUN24	Control	B	Resistant
M4D1	MUN24	Treated	B	Resistant
M4D2	MUN24	Treated	B	Resistant
M4D4	MUN24	Treated	B	Resistant
