Sample	Strain	Treatment	Batch	Resistance
G4C1	GIM44	Control	A	Resistant
G4C2	GIM44	Control	A	Resistant
G4C4	GIM44	Control	A	Resistant
G4D1	GIM44	Treated	A	Resistant
G4D2	GIM44	Treated	A	Resistant
G4D4	GIM44	Treated	A	Resistant
M3C1	MUN33	Control	C	Resistant
M3C2	MUN33	Control	C	Resistant
M3D1	MUN33	Treated	C	Resistant
M3D2	MUN33	Treated	C	Resistant
M3D3	MUN33	Treated	C	Resistant
M4C1	MUN24	Control	B	Resistant
M4C2	MUN24	Control	B	Resistant
M4C4	MUN24	Control	B	Resistant
M4D1	MUN24	Treated	B	Resistant
M4D2	MUN24	Treated	B	Resistant
M4D4	MUN24	Treated	B	Resistant
