Sample	Strain	Treatment	Batch	Resistance
B7C1	BZ37	Control	A	Sensitive
B7C2	BZ37	Control	A	Sensitive
B7C4	BZ37	Control	A	Sensitive
B7D1	BZ37	Treated	A	Sensitive
B7D3	BZ37	Treated	A	Sensitive
B7D4	BZ37	Treated	A	Sensitive
D6C1	DEN62	Control	B	Sensitive
D6C2	DEN62	Control	B	Sensitive
D6C3	DEN62	Control	B	Sensitive
D6D1	DEN62	Treated	B	Sensitive
D6D2	DEN62	Treated	B	Sensitive
D6D3	DEN62	Treated	B	Sensitive
F9C3	FIN19	Control	C	Sensitive
F9C4	FIN19	Control	C	Sensitive
F9D1	FIN19	Treated	C	Sensitive
F9D3	FIN19	Treated	C	Sensitive
F9D4	FIN19	Treated	C	Sensitive
